YEAR,FOMULA,COMPANY,PRICE,BAN,VOLUME,MARKET CAP,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS,PROFIT,VolumeARG
2021/2/0/0,-2.015386139,AAA,-1,-1,2.97E+12,4.71E+13,92772805213,2.91E+12,3.26E+12,2.21E+12,11156000000,1.92E+12,1.13E+12,3.71E+12,-0.063091483,5266645
2021/2/0/0,-13.3831094,AAT,-1,-1,3.48E+11,6.47E+12,15947639700,1.62E+11,1.89E+11,26635786428,1000000000,1.85E+11,17504966880,1.07E+11,-0.053763441,427545
2021/2/0/0,-424.0163717,ABS,-1,-1,8.00E+11,4.19E+13,6383428044,4.07E+11,4.28E+11,3413801294,4.25E+11,8.95E+11,5665725722,7.28E+11,-0.019083969,398273
2021/2/0/0,-382.8509642,ACC,-1,-1,3.00E+11,4.64E+12,11975050157,1.17E+11,1.42E+11,25473951829,,2.30E+11,5.50E+11,4.50E+11,-0.064724919,45745
2021/2/0/0,-213.8908746,ACL,-1,-1,5.02E+11,6.33E+12,11209861473,3.00E+11,3.39E+11,57556136824,,1.37E+11,9.08E+11,7.72E+11,-0.079365079,31864
2021/2/0/0,-13.40537241,ADG,-1,-1,1.80E+11,1.05E+13,12434800983,1.15E+11,1.35E+11,14252952806,1.28E+11,1.56E+11,8285512499,1.47E+11,-0.017094017,101691
2021/2/0/0,-439.6083372,ADS,-1,-1,2.81E+11,3.89E+12,31845959798,3.31E+11,3.83E+11,37398669583,3.20E+11,6.26E+11,4.85E+11,1.26E+12,-0.072202166,413436
2021/2/0/0,-196.0258338,AGG,-1,-1,8.28E+11,3.78E+13,1.89E+11,2.21E+11,2.60E+11,4.36E+11,2.56E+11,2.05E+12,7.03E+12,5.30E+12,-0.021905805,2036645
2021/2/0/0,-2970.238872,AMD,-1,-1,1.64E+12,1.15E+13,4756914416,4.16E+11,4.26E+11,9344320696,37422021918,1.72E+12,3.58E+11,7.18E+11,-0.142653352,2134155
2021/2/0/0,-5605.010672,ANV,-1,-1,1.28E+12,2.84E+13,23741757224,9.36E+11,1.07E+12,29241228671,5.20E+11,5.20E+11,1.92E+12,2.49E+12,-0.045045045,490291
2021/2/0/0,-2.226741448,APH,-1,-1,1.95E+12,1.05E+14,67458474301,3.29E+12,3.74E+12,2.41E+12,11156000000,2.39E+12,1.41E+12,4.54E+12,-0.018656716,927882
2021/2/0/0,-22.00922813,ASM,-1,-1,2.59E+12,3.51E+13,1.02E+11,3.13E+12,3.47E+12,9.69E+11,1.20E+12,3.97E+12,2.85E+12,6.70E+12,-0.073800738,2473009
2021/2/0/0,-37.36353973,ASP,-1,-1,3.73E+11,2.57E+12,9273205621,5.53E+11,5.71E+11,14345352462,1.51E+11,6.93E+11,2911173265,8.87E+11,-0.145137881,35082
2021/2/0/0,-5.028964232,BCE,-1,-1,3.50E+11,4.10E+12,13361783247,24712257775,38494314740,1.12E+11,,5.36E+11,1.20E+11,5.24E+11,-0.085470085,117073
2021/2/0/0,-41.73751058,BCM,-1,-1,1.04E+13,5.84E+14,5.06E+11,9.10E+11,1.64E+12,3.35E+12,96204876712,3.30E+12,2.24E+13,2.09E+13,-0.017793594,87855
2021/2/0/0,-95.8880678,BFC,-1,-1,5.72E+11,1.22E+13,80978019514,2.07E+12,2.34E+12,1.50E+11,,1.07E+12,9.87E+11,1.77E+12,-0.046948357,286409
2021/2/0/0,-7.688363375,BKG,-1,-1,3.20E+11,3.22E+12,4576853797,70213339060,79005596174,36462701151,,1.65E+11,1.19E+11,54986685992,-0.099502488,202191
2021/2/0/0,-1.418541134,BMC,-1,-1,1.24E+11,1.90E+12,5959482735,37534816671,50101884090,77076048193,,1279912300,83728906003,22015600457,-0.065359477,39555
2021/2/0/0,-92.8912705,BMP,-1,-1,8.19E+11,4.86E+13,41833119838,1.27E+12,1.45E+12,81138287098,8.10E+11,3.38E+11,6.17E+11,4.37E+11,-0.016835017,36425
2021/2/0/0,-3.830640854,BTP,-1,-1,6.05E+11,9.98E+12,4971039567,3.96E+11,3.90E+11,1.75E+11,3.73E+11,3.18E+11,1.06E+11,3.27E+11,-0.060606061,77533
2021/2/0/0,-10.47536965,BWE,-1,-1,1.93E+12,5.67E+13,1.70E+11,4.56E+11,7.74E+11,3.83E+11,5.53E+11,7.89E+11,8.25E+11,1.77E+12,-0.034013605,809364
2021/2/0/0,-20.28338578,C32,-1,-1,1.50E+11,3.92E+12,16720454251,1.16E+11,1.35E+11,37442272772,49450839974,2.57E+11,87999228383,3.01E+11,-0.038314176,61355
2021/2/0/0,-364.4580129,C47,-1,-1,1.87E+11,2.36E+12,11897905273,2.42E+11,2.69E+11,39240627861,,2.18E+11,6.33E+11,8.82E+11,-0.079365079,95383
