YEAR,FOMULA,COMPANY,PRICE,BAN,VOLUME,MARKET CAP,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS,PROFIT,VolumeARG
2021/2/0/0,-322.7670456,CCL,-1,-1,4.75E+11,6.20E+12,25771250678,2.32E+11,3.02E+11,21525630880,,7.79E+11,2.88E+11,5.09E+11,-0.076628352,387333
2021/2/0/0,-317.3500183,CII,-1,-1,2.83E+12,5.74E+13,56821102502,6.86E+11,1.07E+12,3.96E+11,6.54E+11,5.14E+12,5.40E+12,9.21E+12,-0.049261084,1600200
2021/2/0/0,-760.7286018,CKG,-1,-1,8.25E+11,1.28E+13,40298516119,96938690307,1.68E+11,83529539091,500000000,1.26E+12,2.90E+12,1.83E+12,-0.064516129,2369127
2021/2/0/0,-92561.55863,CMX,-1,-1,3.04E+11,4.21E+12,21595013033,6.53E+11,7.18E+11,2321692984,8232635616,4.87E+11,5.18E+11,9.61E+11,-0.072202166,179967
2021/2/0/0,-6.755450147,CNG,-1,-1,2.70E+11,5.81E+12,20692453367,7.74E+11,8.29E+11,1.88E+11,64288000000,4.55E+11,61945058592,5.98E+11,-0.046511628,102817
2021/2/0/0,-37.45691148,CRC,-1,-1,1.50E+11,1.55E+12,4121425080,1.08E+11,1.15E+11,15744970067,80633036300,1.25E+11,39284667996,2.13E+11,-0.097087379,185382
2021/2/0/0,-225.3924312,CRE,-1,-1,9.60E+11,3.99E+13,1.28E+11,1.37E+12,1.64E+12,1.09E+11,2.50E+11,1.81E+12,1.29E+12,1.98E+12,-0.024038462,1363536
2021/2/0/0,-7.566811838,CSV,-1,-1,4.42E+11,1.23E+13,58218926039,2.98E+11,4.02E+11,1.29E+11,1.15E+11,2.19E+11,2.55E+11,2.28E+11,-0.035971223,597873
2021/2/0/0,-19.27977656,CTD,-1,-1,7.93E+11,4.96E+13,44888799217,2.42E+12,2.55E+12,6.52E+11,3.02E+12,6.96E+12,1.42E+12,5.23E+12,-0.016,286336
2021/2/0/0,-673.8623736,CTF,-1,-1,6.83E+11,1.39E+13,873510573,1.27E+12,1.36E+12,27862276939,,7.75E+11,4.75E+11,1.00E+12,-0.049140049,291075
2021/2/0/0,-3.574972476,CTI,-1,-1,6.30E+11,1.03E+13,17592820505,1.18E+11,2.03E+11,1.91E+11,,2.82E+11,2.22E+11,5.50E+11,-0.06116208,470225
2021/2/0/0,-2.234492533,D2D,-1,-1,3.03E+11,1.60E+13,61459617356,29850610954,1.09E+11,1.52E+11,7.32E+11,89526366248,1.71E+11,2.92E+11,-0.018939394,118564
2021/2/0/0,-2918.167911,DAH,-1,-1,3.42E+11,2.09E+12,6955779711,1.08E+11,1.27E+11,1055268415,20000000000,97642215970,38145530104,80475762225,-0.163934426,545127
2021/2/0/0,-808.5402528,DBC,-1,-1,1.15E+12,6.58E+13,2.15E+11,2.13E+12,2.60E+12,1.56E+11,5.25E+11,4.06E+11,4.13E+12,4.72E+12,-0.017482517,1495282
2021/2/0/0,-224.2198194,DBT,-1,-1,1.42E+11,1.72E+12,4422159189,1.15E+11,1.56E+11,30714567142,21000000000,1.74E+11,3.72E+11,5.66E+11,-0.082644628,117391
2021/2/0/0,-231.1820221,DCL,-1,-1,5.68E+11,1.85E+13,32680612113,1.32E+11,1.89E+11,31761026856,7.89E+11,2.36E+11,2.86E+11,8.12E+11,-0.030769231,188955
2021/2/0/0,-3.177779104,DCM,-1,-1,5.29E+12,8.49E+13,2.79E+11,1.85E+12,2.36E+12,1.16E+12,2.93E+12,2.27E+11,8.86E+11,2.74E+12,-0.062305296,5027142
2021/2/0/0,-636.3801883,DGC,-1,-1,1.71E+12,1.29E+14,3.33E+11,1.54E+12,2.04E+12,52027251455,1.90E+12,9.09E+11,9.36E+11,1.74E+12,-0.01321004,1731509
2021/2/0/0,-9.871194624,DGW,-1,-1,4.44E+11,5.21E+13,1.17E+11,3.91E+12,4.22E+12,1.02E+12,,1.19E+12,9.75E+11,2.03E+12,-0.008517888,403600
2021/2/0/0,-15.70528489,DHC,-1,-1,5.60E+11,5.28E+13,1.28E+11,9.05E+11,1.08E+12,1.86E+11,9022773266,6.85E+11,3.82E+11,8.84E+11,-0.010604454,301427
2021/2/0/0,-17683.5093,DHM,-1,-1,3.14E+11,3.20E+12,388251983,3.42E+11,3.44E+11,2132785434,40000000000,1.20E+11,1.91E+11,4.18E+11,-0.098039216,435991
2021/2/0/0,-222.1316349,DIG,-1,-1,4.10E+12,1.14E+14,53260858504,4.00E+11,6.16E+11,3.63E+11,81988482192,2.57E+12,4.60E+12,6.36E+12,-0.035971223,6142373
2021/2/0/0,-53.06287978,DLG,-1,-1,2.99E+12,9.42E+12,10919405792,4.20E+11,4.80E+11,1.37E+11,,2.42E+12,3.30E+11,2.99E+12,-0.317460317,3198573
2021/2/0/0,-2.232264257,DPG,-1,-1,4.50E+11,1.62E+13,1.04E+11,3.52E+11,5.27E+11,7.54E+11,25205442500,6.20E+11,6.17E+11,1.94E+12,-0.027777778,1160273
2021/2/0/0,-1.497410354,DPM,-1,-1,3.91E+12,7.17E+13,6.94E+11,1.99E+12,2.93E+12,2.63E+12,2.56E+12,3.36E+11,1.50E+12,2.15E+12,-0.054495913,3419282
2021/2/0/0,-1.151987793,DPR,-1,-1,4.30E+11,2.02E+13,34772166181,1.62E+11,2.18E+11,2.93E+11,6.24E+11,75518200805,2.17E+11,2.93E+11,-0.021321962,96291
2021/2/0/0,-22.06780268,DQC,-1,-1,3.44E+11,7.43E+12,2724477787,1.13E+11,1.70E+11,78081824506,49569061875,4.07E+11,3.31E+11,3.95E+11,-0.046296296,34391
2021/2/0/0,-1192.347368,DRC,-1,-1,1.19E+12,3.21E+13,1.06E+11,9.78E+11,1.20E+12,29789506250,2.20E+11,2.35E+11,1.06E+12,9.64E+11,-0.037037037,2206173
2021/2/0/0,-2637.141584,DRH,-1,-1,6.10E+11,6.34E+12,-1852825916,2997146798,4030061188,22784182040,4440038771,8.21E+11,8.61E+11,1.59E+12,-0.096153846,672238
2021/2/0/0,-0.246114683,DTA,-1,-1,1.81E+11,1.88E+12,2980650429,15725754867,20824219480,83997604556,2000000000,50884196575,5792534996,2.83E+11,-0.096153846,46555
2021/2/0/0,-9.860962783,DVP,-1,-1,4.00E+11,1.86E+13,81277137605,61245448210,1.66E+11,17559596829,9.78E+11,87645853749,10369951546,2.12E+11,-0.021505376,137350
2021/2/0/0,-5.440746384,DXG,-1,-1,5.20E+12,1.21E+14,4.79E+11,1.61E+12,3.56E+12,4.56E+12,1.13E+12,9.20E+12,9.64E+12,1.15E+13,-0.042918455,4907582
2021/2/0/0,-2.212911868,ELC,-1,-1,5.09E+11,6.13E+12,8503605424,84108350787,1.12E+11,1.95E+11,28936781529,6.67E+11,1.67E+11,4.81E+11,-0.082987552,576592
2021/2/0/0,-21.82257491,EVG,-1,-1,1.05E+12,1.21E+13,7631223379,3.05E+11,3.13E+11,58972544860,,1.08E+12,1.90E+11,3.01E+11,-0.086580087,875517
2021/2/0/0,-73.73205469,FCN,-1,-1,,,35022791789,6.26E+11,7.61E+11,3.25E+11,36778544346,3.19E+12,1.77E+12,4.38E+12,-0.08097166,977218
2021/2/0/0,-3023.452351,FIR,-1,-1,2.70E+11,2.70E+11,3338162404,9780028517,29555039781,2627428348,,2.85E+11,1.11E+11,1.88E+11,-0.085106383,196709
2021/2/0/0,-163.1411466,FIT,-1,-1,2.55E+12,2.55E+12,1.49E+11,2.19E+11,2.98E+11,53253531603,2.22E+12,7.07E+11,3.65E+11,1.26E+12,-0.033167496,5831809
2021/2/0/0,-1608.688496,FLC,-1,-1,7.10E+12,7.10E+12,22016701828,1.31E+12,1.26E+12,1.32E+11,2.06E+11,1.26E+13,2.03E+12,1.38E+13,-0.096153846,17193391
2021/2/0/0,-4.720755094,FMC,-1,-1,5.89E+11,5.89E+11,81905812161,1.06E+12,1.16E+12,6.04E+11,9516255000,3.51E+11,9.72E+11,1.03E+12,-0.088495575,344191
2021/2/0/0,-2.224368794,FPT,-1,-1,9.08E+12,9.08E+12,1.26E+12,5.18E+12,8.64E+12,4.98E+12,1.55E+13,6.68E+12,1.85E+12,2.50E+13,-0.031796502,4306627
2021/2/0/0,-46.9979478,FRT,-1,-1,7.90E+11,7.90E+11,30235021845,3.75E+12,4.36E+12,6.09E+11,1.87E+12,2.15E+12,2.47E+12,6.43E+12,-0.012091898,3949291
2021/2/0/0,-397.5757898,FTM,-1,-1,5.00E+11,5.00E+11,-46534546725,39110481089,44221667586,15398199954,220000000,7.98E+11,83401296974,1.13E+12,-0.036231884,251492
2021/2/0/0,-4.729508509,GAS,-1,-1,1.91E+13,1.91E+13,2.30E+12,1.89E+13,2.27E+13,5.95E+12,2.57E+13,1.53E+13,1.99E+12,2.00E+13,-0.005213764,679073
2021/2/0/0,-134.9758327,GDT,-1,-1,1.71E+11,1.71E+11,19232448206,81398157853,1.15E+11,8935214048,1.99E+11,32296358722,82710067448,1.22E+11,-0.011778563,71064
2021/2/0/0,-53.65202518,GEG,-1,-1,2.71E+12,2.71E+12,73392829722,1.28E+11,3.20E+11,1.68E+11,,9.11E+11,8.68E+11,1.74E+12,-0.01934236,364827
2021/2/0/0,-25.88827655,GEX,-1,-1,4.88E+12,4.88E+12,5.21E+11,7.32E+12,8.70E+12,3.10E+12,2.69E+12,8.28E+12,1.04E+13,2.31E+13,-0.058139535,3311680
2021/2/0/0,-4.280162768,GIL,-1,-1,3.60E+11,3.60E+11,1.15E+11,1.01E+12,1.26E+12,5.48E+11,5.17E+11,8.06E+11,5.18E+11,1.68E+12,-0.037664783,517518
2021/2/0/0,-0.84442226,GMD,-1,-1,3.01E+12,3.01E+12,1.78E+11,4.33E+11,7.52E+11,4.99E+11,59450918735,1.02E+12,65655233120,1.90E+12,-0.03502627,3643964
2021/2/0/0,-8.270363206,GTN,-1,-1,2.50E+12,2.50E+12,46994557729,5.64E+11,7.91E+11,2.32E+11,2.37E+12,2.28E+11,2.46E+11,2.74E+11,-0.065789474,245350
2021/2/0/0,-1.044386738,GVR,-1,-1,4.00E+13,4.00E+13,1.16E+12,4.06E+12,5.69E+12,6.58E+12,8.79E+12,2.76E+12,3.17E+12,8.84E+12,-0.054945055,4698909
2021/2/0/0,-62.58034085,HAG,-1,-1,9.27E+12,9.27E+12,87041258000,3.54E+11,5.35E+11,1.56E+11,,4.38E+12,3.16E+11,4.80E+12,-0.039525692,2875464
2021/2/0/0,-1.960087352,HAH,-1,-1,4.88E+11,4.88E+11,97682399974,3.08E+11,4.49E+11,2.23E+11,61341741096,3.62E+11,68666229159,4.76E+11,-0.186567164,1680869
2021/2/0/0,-2141.570688,HAI,-1,-1,1.83E+12,1.83E+12,4409989942,1.02E+11,1.13E+11,11244784087,2.76E+11,1.95E+12,3.43E+11,7.89E+11,-0.038167939,1958164
2021/2/0/0,-66.46019744,HAP,-1,-1,5.56E+11,5.56E+11,7569154271,1.03E+11,1.22E+11,11270872366,51050123200,3.00E+11,79275074722,85635182768,-0.20242915,207817
2021/2/0/0,-0.048517433,HAR,-1,-1,1.01E+12,1.01E+12,60758453,3811650426,12010223286,16724141820,,78315134082,,56418623562,-0.181818182,246945
2021/2/0/0,-82.5613768,HAX,-1,-1,4.78E+11,4.78E+11,5941312139,1.21E+12,1.25E+12,87899838985,,1.44E+11,6.57E+11,6.68E+11,-0.03968254,423182
2021/2/0/0,-221.6589123,HBC,-1,-1,2.31E+12,2.31E+12,58429335722,2.98E+12,3.18E+12,3.77E+11,8625077046,1.10E+13,2.76E+12,1.13E+13,-0.062695925,2788182
2021/2/0/0,-66.77566991,HCD,-1,-1,2.70E+11,2.70E+11,15782620077,1.62E+11,1.83E+11,19687859340,6000000000,2.07E+11,1.56E+11,1.39E+11,-0.217391304,1022309
2021/2/0/0,-578.5241471,HDC,-1,-1,8.31E+11,8.31E+11,64717753246,2.34E+11,3.43E+11,55110203571,59544098284,5.67E+11,1.37E+12,1.28E+12,-0.024783147,1024236
2021/2/0/0,-30.17354892,HDG,-1,-1,1.54E+12,1.54E+12,1.01E+11,1.76E+11,4.78E+11,4.10E+11,4.88E+11,1.39E+12,1.20E+12,4.22E+12,-0.024271845,3525845
2021/2/0/0,-298.9330117,HHP,-1,-1,2.01E+11,2.01E+11,9846868445,1.71E+11,1.89E+11,7151293000,7200000000,1.78E+11,58548460907,2.45E+11,-0.081632653,281073
2021/2/0/0,-8.511471246,HHS,-1,-1,2.75E+12,2.75E+12,53290516917,1.32E+11,1.50E+11,63099227659,3.12E+11,52885123200,1.63E+11,1.60E+11,-0.147058824,1244545
2021/2/0/0,-26.71092936,HII,-1,-1,3.20E+11,3.20E+11,33990078362,2.03E+12,2.18E+12,1.99E+11,9656000000,7.55E+11,1.75E+11,9.97E+11,-0.04587156,578564
2021/2/0/0,-628.8379336,HMC,-1,-1,2.10E+11,2.10E+11,56039562554,1.07E+12,1.16E+12,27018515692,9500000000,3.06E+11,6.38E+11,6.37E+11,-0.042735043,149609
2021/2/0/0,-13.28707277,HPG,-1,-1,4.47E+13,4.47E+13,9.75E+12,2.36E+13,3.51E+13,1.46E+13,1.72E+13,7.95E+12,3.98E+13,6.66E+13,-0.016835017,25810082
2021/2/0/0,-1699.61698,HPX,-1,-1,2.64E+12,2.64E+12,72400535549,3.43E+11,4.94E+11,87159056777,2.64E+11,2.91E+12,3.83E+12,3.37E+12,-0.029239766,265027
2021/2/0/0,-1721.349075,HQC,-1,-1,4.77E+12,4.77E+12,1024335820,79805956979,1.03E+11,29016843985,,3.03E+12,5.27E+11,2.75E+12,-0.282485876,6117636
2021/2/0/0,-224.2028639,HSG,-1,-1,4.45E+12,4.45E+12,1.03E+12,8.96E+12,1.08E+13,7.15E+11,8501781836,2.99E+12,9.00E+12,1.21E+13,-0.028653295,13447367
2021/2/0/0,-29.47621087,HSL,-1,-1,1.72E+11,1.72E+11,1005490149,62245872841,64057285740,9374399488,,96372822712,32184549041,18840083653,-0.139275766,54164
2021/2/0/0,-9.116449753,HT1,-1,-1,3.82E+12,3.82E+12,2.41E+11,1.82E+12,2.26E+12,6.03E+11,13883294730,4.45E+11,7.22E+11,3.65E+12,-0.06116208,427464
2021/2/0/0,-15.24489165,HTI,-1,-1,2.49E+11,2.49E+11,14559988018,57139200609,1.09E+11,17906234660,,13821213895,14117898593,24557426288,-0.059701493,63445
2021/2/0/0,-225.3875969,HTN,-1,-1,4.95E+11,4.95E+11,82594010333,1.55E+12,1.70E+12,1.72E+11,98104260274,4.28E+12,1.29E+12,5.10E+12,-0.025062657,85427
2021/2/0/0,-4.619357761,HVH,-1,-1,3.70E+11,3.70E+11,7200689242,61700117251,81649300061,49007547815,,2.03E+11,67038248527,1.39E+11,-0.099009901,614391
2021/2/0/0,-13.10621295,ICT,-1,-1,3.22E+11,3.22E+11,12519102758,2.62E+11,2.94E+11,1.83E+11,20000000000,9.21E+11,4.09E+11,1.04E+12,-0.051413882,52500
2021/2/0/0,-18.30778906,IDI,-1,-1,2.28E+12,2.28E+12,26964227280,1.69E+12,1.83E+12,5.71E+11,1.03E+12,2.40E+12,1.36E+12,4.07E+12,-0.158227848,675591
2021/2/0/0,-12.90786297,IJC,-1,-1,2.17E+12,2.17E+12,1.77E+11,2.86E+11,5.62E+11,7.30E+11,5905000000,7.49E+11,3.36E+12,2.03E+12,-0.03649635,6100536
2021/2/0/0,-0.215628267,ILB,-1,-1,2.45E+11,2.45E+11,21887769004,87023974957,1.32E+11,1.67E+11,11500000000,1.11E+11,,3.19E+11,-0.042016807,230136
2021/2/0/0,-1785.656061,ITA,-1,-1,9.38E+12,9.38E+12,38755003609,78302083952,1.44E+11,64804534972,,2.03E+12,4.01E+12,1.87E+12,-0.133868809,5498345
2021/2/0/0,-2.482443103,KDC,-1,-1,2.80E+12,2.80E+12,2.16E+11,2.07E+12,2.58E+12,1.78E+12,6.35E+11,2.78E+12,1.38E+12,3.96E+12,-0.063897764,2146309
2021/2/0/0,-8.109822594,KDH,-1,-1,6.43E+12,6.43E+12,2.65E+11,6.86E+11,1.11E+12,1.85E+12,,3.73E+12,7.34E+12,3.73E+12,-0.026595745,5681627
2021/2/0/0,-19.87723505,KHP,-1,-1,5.76E+11,5.76E+11,-1.05E+11,1.31E+12,1.25E+12,1.39E+11,3.99E+11,89521725372,1.44E+11,8.89E+11,-0.01953125,47955
2021/2/0/0,-1287.066738,KMR,-1,-1,5.69E+11,5.69E+11,7956190904,1.47E+11,1.72E+11,15244453477,,2.07E+11,5.85E+11,5.10E+11,-0.027434842,232045
2021/2/0/0,-334.9491689,KOS,-1,-1,1.65E+12,1.65E+12,5132576501,3.73E+11,3.93E+11,46567386409,6986490163,1.06E+12,1.18E+12,6.06E+11,-0.151515152,313173
2021/2/0/0,-4.811031772,KSB,-1,-1,6.70E+11,6.70E+11,76234354121,1.65E+11,3.21E+11,78096445735,,1.94E+12,24997349096,1.01E+12,-0.038910506,1009782
2021/2/0/0,-44.78332264,LCG,-1,-1,1.17E+12,1.17E+12,73051302904,6.67E+11,8.36E+11,2.21E+11,45350000000,3.29E+12,5.90E+11,3.65E+12,-0.071684588,1941808
2021/2/0/0,-1417.273116,LCM,-1,-1,2.46E+11,2.46E+11,-359188596,3163423073,2437540800,514061950,,26579631009,16932819881,22107886100,-0.389105058,92845
2021/2/0/0,-4017.561969,LDG,-1,-1,2.40E+12,2.40E+12,715390558,44509889595,90327147670,26885621203,,3.14E+12,1.10E+12,2.64E+12,-0.133155792,2405564
2021/2/0/0,-19.91527722,LHG,-1,-1,5.00E+11,5.00E+11,2.18E+11,2.55E+11,5.56E+11,1.70E+11,9.62E+11,3.05E+11,6.04E+11,9.09E+11,-0.027624309,623136
2021/2/0/0,-193.8207996,LIX,-1,-1,3.24E+11,3.24E+11,40010811556,5.17E+11,6.57E+11,27593017590,,1.98E+11,3.06E+11,4.07E+11,-0.017361111,75736
2021/2/0/0,-0.002427545,MHC,-1,-1,4.14E+11,4.14E+11,21837112136,4521712795,7064058336,1.29E+11,1.24E+11,6.96E+11,,1.02E+11,-0.09009009,951742
2021/2/0/0,-74.30031118,MSH,-1,-1,5.00E+11,5.00E+11,1.24E+11,9.68E+11,1.21E+12,1.37E+11,6.51E+11,6.93E+11,8.69E+11,1.48E+12,-0.018621974,106550
2021/2/0/0,-4.538697786,MSN,-1,-1,1.18E+13,1.18E+13,1.05E+12,1.64E+13,2.12E+13,1.15E+13,4.38E+11,7.53E+12,1.30E+13,3.81E+13,-0.010460251,1498992
2021/2/0/0,-41.35168863,MWG,-1,-1,4.75E+12,4.75E+12,1.21E+12,2.45E+13,3.17E+13,4.62E+12,1.35E+13,2.98E+12,2.24E+13,3.48E+13,-0.007042254,1105558
2021/2/0/0,-25.90414666,NAF,-1,-1,4.76E+11,4.76E+11,28459769759,4.03E+11,4.89E+11,61350144858,200000000,7.92E+11,1.19E+11,6.67E+11,-0.042016807,1545445
2021/2/0/0,-927.5080576,NBB,-1,-1,1.00E+12,1.00E+12,1.77E+11,2.47E+11,3.91E+11,74987593405,,1.17E+12,2.38E+12,2.19E+12,-0.036363636,60491
2021/2/0/0,-102.7803956,NHA,-1,-1,2.81E+11,2.81E+11,526353004,23613676542,26911423638,3901873393,,52186825022,29314665084,51744506999,-0.032520325,134391
2021/2/0/0,-12.13281569,NHH,-1,-1,3.64E+11,3.64E+11,8578619374,4.48E+11,5.32E+11,1.52E+11,71250000000,3.63E+11,2.66E+11,9.03E+11,-0.015384615,286517
2021/2/0/0,-86.68144782,NKG,-1,-1,1.82E+12,1.82E+12,8.48E+11,5.70E+12,7.01E+12,8.22E+11,4.39E+11,3.13E+12,5.96E+12,9.23E+12,-0.035587189,6194008
2021/2/0/0,-68.58312677,NLG,-1,-1,2.85E+12,2.85E+12,48139359575,2.85E+11,4.01E+11,1.22E+12,62076912592,1.85E+12,1.40E+13,7.29E+12,-0.026041667,3912933
2021/2/0/0,-844174.5858,NT2,-1,-1,2.88E+12,2.88E+12,24551467904,1.54E+12,1.62E+12,1031927662,4.20E+11,2.17E+12,3.14E+11,2.86E+12,-0.048309179,476708
2021/2/0/0,-15.58747757,NTL,-1,-1,6.10E+11,6.10E+11,51430039926,39618426130,1.09E+11,2.29E+11,,2.46E+11,1.24E+12,6.58E+11,-0.040816327,1965950
2021/2/0/0,-29.48527853,NVL,-1,-1,1.47E+13,1.47E+13,1.31E+12,1.69E+12,2.54E+12,1.21E+13,8.35E+11,1.91E+13,1.03E+14,4.19E+13,-0.007369197,2701367
2021/2/0/0,-17.39966607,OGC,-1,-1,3.00E+12,3.00E+12,41873430869,85626384366,1.19E+11,1.42E+11,2.92E+11,9.43E+11,2.82E+11,1.24E+12,-0.157232704,220700
2021/2/0/0,-1.374631755,PAN,-1,-1,2.16E+12,2.16E+12,1.10E+11,1.97E+12,2.28E+12,3.18E+12,96796696037,1.47E+12,2.38E+12,4.51E+12,-0.039840637,1255108
2021/2/0/0,-11.91785911,PC1,-1,-1,1.91E+12,1.91E+12,1.45E+11,2.74E+12,2.99E+12,9.38E+11,61155607771,3.60E+12,1.26E+12,7.51E+12,-0.038167939,515433
2021/2/0/0,-707.4567913,PDR,-1,-1,4.87E+12,4.87E+12,2.51E+11,1.32E+11,5.38E+11,2.97E+11,24400348619,2.23E+12,1.20E+13,5.20E+12,-0.013927577,3015267
2021/2/0/0,-4.579173437,PET,-1,-1,8.66E+11,8.66E+11,50109935349,3.20E+12,3.42E+12,1.30E+12,2.34E+11,1.69E+12,1.05E+12,3.86E+12,-0.047505938,1943950
2021/2/0/0,-409.3657446,PHC,-1,-1,2.57E+11,2.57E+11,33471533625,1.37E+11,1.50E+11,46041759174,52917169525,1.14E+12,5.42E+11,1.60E+12,-0.067567568,820118
2021/2/0/0,-12.83836701,PHR,-1,-1,1.35E+12,1.35E+12,81337832600,3.84E+11,4.51E+11,1.77E+11,1.83E+12,2.34E+11,3.75E+11,9.90E+11,-0.01953125,496818
2021/2/0/0,-3236.078279,PLP,-1,-1,4.00E+11,4.00E+11,12790658121,4.08E+11,4.55E+11,8928303110,10346280000,5.24E+11,2.74E+11,9.35E+11,-0.1001001,549955
2021/2/0/0,-15.08789589,PLX,-1,-1,1.29E+13,1.29E+13,1.51E+12,4.24E+13,4.66E+13,7.59E+12,1.06E+13,1.15E+13,1.24E+13,3.94E+13,-0.019685039,1209725
2021/2/0/0,-429.9590725,PNJ,-1,-1,2.28E+12,2.28E+12,2.24E+11,3.62E+12,4.46E+12,2.50E+11,,1.12E+11,7.45E+12,3.45E+12,-0.010416667,615867
2021/2/0/0,-136.4482974,POM,-1,-1,2.80E+12,2.80E+12,1.28E+11,3.49E+12,3.78E+12,4.84E+11,,2.82E+12,3.91E+12,7.97E+12,-0.055710306,178336
2021/2/0/0,-1.081122073,POW,-1,-1,2.34E+13,2.34E+13,8.90E+11,6.81E+12,7.96E+12,7.23E+12,1.22E+12,1.00E+13,1.93E+12,1.80E+13,-0.081300813,7225033
