,YEAR,COMPANY,VOLUME,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS,PRICE,BAN,MARKET CAP,ValueARG,VolumeARG
20,2021/3/0/0,BMP,818609380000.0,-25957513559.0,503538834839.0,527066290066.0,200440775531.0,615000000000.0,289550920466.0,610545573924.0,252083862244.0,60.0,0.0,0.0,9472303.333333334,163500.0
21,2021/3/0/0,BRC,123749970000.0,5000171135.0,65082971792.0,82709271724.0,20522733742.0,4871196250.0,105780276422.0,74569677904.0,112072777858.0,16.0,0.0,0.0,86153.33333333333,5377.777777777777
22,2021/3/0/0,BTP,,18234564825.0,110708039169.0,102966734360.0,215092650583.0,322650000000.0,106523837272.0,105120849057.0,231797739531.0,17.75,0.0,0.0,256455.0,14755.555555555555
23,2021/3/0/0,BTT,135000000000.0,-1360288244.0,11000601094.0,15145110904.0,20763356340.0,35050000000.0,13335535513.0,22485687310.0,22983256180.0,0.0,0.0,0.0,4755.0,100.0
24,2021/3/0/0,BWE,1929200000000.0,158587201797.0,345791211686.0,651685994500.0,325462880792.0,598572000000.0,870628004406.0,802544490543.0,1713549762775.0,44.7,0.0,0.0,16390068.888888888,374877.77777777775
25,2021/3/0/0,C32,150301450000.0,24718605752.0,78257000407.0,86311358555.0,49515703810.0,62340274312.0,237678000508.0,87954044844.0,275873091216.0,36.2,0.0,0.0,22978645.0,638600.0
26,2021/3/0/0,C47,187221430000.0,5917676915.0,93701114025.0,127175295460.0,65829829830.0,,202760247195.0,653628600773.0,853429243576.0,14.95,0.0,0.0,8300903.333333333,595544.4444444445
27,2021/3/0/0,CAV,576000000000.0,37744603896.0,1653840127609.0,1804685613828.0,47621278704.0,,989375210070.0,4334823121758.0,4975358937208.0,60.0,0.0,0.0,204908.57142857142,3414.285714285714
28,2021/3/0/0,CCI,177438650000.0,7755663689.0,30901427856.0,40327069670.0,13467371763.0,269539000000.0,23009505038.0,18892918918.0,25213932893.0,23.5,0.0,0.0,134137.5,6150.0
29,2021/3/0/0,CCL,474998850000.0,7411961059.0,160142382787.0,182271066558.0,23459834219.0,,786231131811.0,286198072074.0,507474628211.0,16.95,0.0,0.0,31579839.444444444,1848088.888888889
30,2021/3/0/0,CDC,219887160000.0,2455209742.0,201964924071.0,208991814298.0,7627711737.0,375967228971.0,392488154084.0,194663693894.0,824345728805.0,16.5,0.0,0.0,230773.33333333334,14700.0
31,2021/3/0/0,CEE,415000000000.0,-5823983373.0,59158844312.0,63508204225.0,3568536183.0,,1416048739411.0,584730674525.0,1472349106097.0,15.5,0.0,0.0,19990.555555555555,1355.5555555555557
32,2021/3/0/0,CHP,1469126680000.0,51637936429.0,90737742769.0,175899933290.0,13557661371.0,,170587600697.0,8628398794.0,357177788108.0,21.4,0.0,0.0,678485.0,32233.333333333332
33,2021/3/0/0,CIG,315399470000.0,13429630968.0,-6127732328.0,7602514087.0,2501659948.0,,393731387213.0,111638864220.0,447242100199.0,11.5,0.0,0.0,1150649.7777777778,124311.11111111111
34,2021/3/0/0,CKG,824997810000.0,1715038430.0,17015305645.0,43468017718.0,49074613172.0,500000000.0,1301931809989.0,2915762360919.0,1949977180927.0,28.0,0.0,0.0,151841796.1111111,5805300.0
35,2021/3/0/0,CLC,262075830000.0,37223837510.0,435206961719.0,503752863641.0,87265692557.0,,234331868611.0,714446402343.0,333927123704.0,38.9,0.0,0.0,709756.1111111111,19333.333333333332
36,2021/3/0/0,CLL,340000000000.0,24076007451.0,33015998246.0,58977008154.0,232238821317.0,86206575342.0,51195710960.0,946096132.0,105252248421.0,35.05,0.0,0.0,922762.2222222222,26455.555555555555
37,2021/3/0/0,CLW,130000000000.0,1641941246.0,251500763116.0,272028232460.0,6891343454.0,75640302743.0,148360028711.0,14440355741.0,227518702182.0,0.0,0.0,0.0,45000.0,1500.0
38,2021/3/0/0,CMV,181558680000.0,4361423327.0,818565930348.0,852677360376.0,34204869320.0,15000000000.0,62761028320.0,201017402695.0,183842764820.0,14.7,0.0,0.0,16123.888888888889,1155.5555555555557
39,2021/3/0/0,CMX,608175020000.0,27588136560.0,451072777014.0,526855937990.0,13973108022.0,,338955858534.0,915295850968.0,795717440755.0,17.3,0.0,0.0,33591112.777777776,2141055.5555555555
40,2021/3/0/0,CNG,270000000000.0,10560570733.0,646419300093.0,683052582550.0,119182376116.0,64288000000.0,495318791986.0,45842201362.0,535416498928.0,35.05,0.0,0.0,18281331.111111112,506800.0
41,2021/3/0/0,COM,141206280000.0,-3319708872.0,260401738173.0,278845072770.0,37454067147.0,14525857483.0,17849521372.0,177264940683.0,105622413345.0,0.0,0.0,0.0,16764.166666666668,383.3333333333333
42,2021/3/0/0,CRE,959999080000.0,78230105934.0,638453228279.0,842556588939.0,106365186241.0,317235367146.0,2015256957282.0,1053210846255.0,2189828374090.0,32.1,0.0,0.0,42405999.44444445,1380355.5555555555
43,2021/3/0/0,CSM,1036264670000.0,-28417729071.0,947252353913.0,1011602038088.0,211898014224.0,,992753952970.0,1625512471336.0,2877648576421.0,18.0,0.0,0.0,1167677.2222222222,65877.77777777778
44,2021/3/0/0,CSV,442000000000.0,39829839007.0,274654377033.0,356077648276.0,135381284459.0,125000000000.0,202128481980.0,284642090132.0,240038812675.0,54.3,0.0,0.0,59513235.55555555,1207655.5555555555
45,2021/3/0/0,CTF,683000000000.0,-7175991047.0,322382629605.0,341507212095.0,52099827301.0,,675135245985.0,543330533199.0,1021601164984.0,20.5,0.0,0.0,6453946.111111111,319500.0
46,2021/3/0/0,CTI,629999970000.0,-6313182415.0,60979693705.0,81596883589.0,66343310119.0,,271022500661.0,188842215318.0,489080006062.0,19.0,0.0,0.0,34423682.777777776,1878288.888888889
47,2021/3/0/0,CVT,366908870000.0,39267866633.0,313803976463.0,389358573367.0,29414688032.0,252400000000.0,142214432249.0,488152119973.0,883089300138.0,38.0,0.0,0.0,217800.0,5733.333333333333
48,2021/3/0/0,D2D,303047580000.0,85699334526.0,37343493122.0,146692799284.0,28952689032.0,712000000000.0,134888000492.0,145924206061.0,254680064376.0,64.8,0.0,0.0,38358697.777777776,604222.2222222222
49,2021/3/0/0,DAG,595641120000.0,7497528921.0,407654974674.0,436451473164.0,16391125066.0,80800000000.0,521967673243.0,657602090011.0,1095861692353.0,7.05,0.0,0.0,6772151.666666667,1016266.6666666666
50,2021/3/0/0,DAT,460054130000.0,2793015181.0,386997904594.0,399814536606.0,296056639935.0,196893691018.0,464446094208.0,56819931389.0,720517302302.0,0.0,0.0,0.0,21233.333333333332,833.3333333333334
51,2021/3/0/0,DBC,1152394300000.0,138009726512.0,2297706723628.0,2681948911925.0,174685602659.0,543895764510.0,516887656566.0,4249678421172.0,4747387240658.0,59.5,0.0,0.0,118071706.66666667,1984477.7777777778
52,2021/3/0/0,DBD,576124440000.0,41143484495.0,361065184785.0,553827724807.0,74101897112.0,69541393300.0,591981942544.0,309007532788.0,390851711462.0,49.5,0.0,0.0,5946036.666666667,121655.55555555556
53,2021/3/0/0,DBT,142051160000.0,40080904.0,94647573654.0,134593807374.0,16851439838.0,21000000000.0,153606709297.0,364894741081.0,523465271674.0,17.25,0.0,0.0,5672775.555555556,321177.77777777775
54,2021/3/0/0,DC4,335994650000.0,5619307889.0,85410147322.0,100914933625.0,64486276947.0,488109.0,288327107790.0,272145334537.0,316265583685.0,22.25,0.0,0.0,7316985.555555556,377877.77777777775
55,2021/3/0/0,DCL,588328240000.0,16932484164.0,105782702484.0,149517241159.0,11302078386.0,548320184931.0,237893543972.0,303764696714.0,546766586440.0,36.9,0.0,0.0,5238418.333333333,142388.88888888888
56,2021/3/0/0,DCM,5294000000000.0,373850098560.0,1228558358787.0,1811730315754.0,663120284075.0,3412000000000.0,267971954959.0,1446280968282.0,2639688715427.0,34.0,0.0,0.0,235276874.44444445,7151400.0
57,2021/3/0/0,DGC,1710805560000.0,488081490258.0,1466197580844.0,2106391057325.0,80609420665.0,2351399722557.0,997261233201.0,742827615026.0,1674941298916.0,155.7,0.0,0.0,192313236.66666666,1227766.6666666667
58,2021/3/0/0,DGW,885520250000.0,107255961503.0,3551152990708.0,3825124117208.0,569506983071.0,,2008641574055.0,934955701355.0,2298790076860.0,113.5,0.0,0.0,75046730.0,659877.7777777778
59,2021/3/0/0,DHA,151199460000.0,17144125901.0,47796166855.0,67547169679.0,36587939936.0,200790824157.0,83829693028.0,139950000.0,25345487898.0,56.5,0.0,0.0,7506696.666666667,138888.88888888888
60,2021/3/0/0,DHC,699944230000.0,87605537681.0,816101722845.0,948463394106.0,302196557359.0,14022773266.0,669915772561.0,329293142694.0,830771368635.0,90.9,0.0,0.0,57224722.222222224,616366.6666666666
61,2021/3/0/0,DHG,1307460710000.0,201310364489.0,485325463264.0,944449743687.0,62776317465.0,2250000000000.0,366612779178.0,940492172402.0,853082411329.0,102.3,0.0,0.0,3021578.888888889,29833.333333333332
62,2021/3/0/0,DHM,313961800000.0,34295364541.0,537588551707.0,564151132060.0,1564178798.0,49866702200.0,85970224932.0,124616270074.0,271289920069.0,13.75,0.0,0.0,6224053.888888889,450722.22222222225
63,2021/3/0/0,DIG,4248909620000.0,42268094857.0,361536166193.0,538511918203.0,2391956516382.0,58032482192.0,2547416597906.0,4295967298788.0,5770613131818.0,54.4,0.0,0.0,437746082.7777778,9685700.0
64,2021/3/0/0,DLG,2993097200000.0,1410407686.0,319657342409.0,394624155937.0,132515660299.0,50000000000.0,2173824267600.0,291091626618.0,2876308614901.0,7.26,0.0,0.0,89989188.33333333,12659488.888888888
65,2021/3/0/0,DMC,347274650000.0,38827225344.0,293557779450.0,387723258123.0,64904896726.0,195000000000.0,767248592592.0,398714480825.0,328564881472.0,56.7,0.0,0.0,2810195.5555555555,47066.666666666664
66,2021/3/0/0,DPG,629995540000.0,71214878223.0,410871780967.0,548639691454.0,868675720868.0,25205442500.0,563963987669.0,669188652536.0,2131262006922.0,85.9,0.0,0.0,88094636.66666667,1167644.4444444445
67,2021/3/0/0,DPM,3914000000000.0,630194791638.0,1783050982310.0,2824024236267.0,2773726247311.0,2495000000000.0,383867457735.0,1757696486106.0,2158584012045.0,49.8,0.0,0.0,312438780.5555556,6636633.333333333
68,2021/3/0/0,DPR,430000000000.0,76038262551.0,205329928651.0,300932287411.0,292701909669.0,628255845451.0,69589713519.0,229499529289.0,410064711177.0,82.1,0.0,0.0,24882512.222222224,322700.0
69,2021/3/0/0,DQC,343594160000.0,242788790.0,81363846272.0,120541338949.0,37211415598.0,38739575850.0,405250766618.0,411098208291.0,416922107285.0,25.95,0.0,0.0,5804385.555555556,223444.44444444444
70,2021/3/0/0,DRC,1187926050000.0,33717597761.0,795249387479.0,929240262183.0,18142261140.0,220000000000.0,173537485482.0,1396665226091.0,1198743555951.0,34.05,0.0,0.0,55971324.44444445,1696266.6666666667
71,2021/3/0/0,DRH,609999330000.0,1589457627.0,-247802328.0,205681818.0,21235299271.0,1221329250.0,835471869349.0,865838112119.0,1608948639240.0,24.3,0.0,0.0,68867092.77777778,3271022.222222222
72,2021/3/0/0,DRL,95000000000.0,9551181862.0,7206390516.0,18033980116.0,10630482143.0,57000000000.0,17006424987.0,810026460.0,7178116226.0,66.0,0.0,0.0,44435.71428571428,685.7142857142857
73,2021/3/0/0,DSN,120830090000.0,12581272048.0,4535836045.0,420000000.0,44602467727.0,140081581460.0,1199058703.0,812906669.0,22198723495.0,45.1,0.0,0.0,624005.5555555555,13677.777777777777
74,2021/3/0/0,DTA,180598320000.0,-128613350.0,11423357140.0,13794008679.0,41971000629.0,49437136993.0,49910232125.0,920585996.0,295958517649.0,26.1,0.0,0.0,5797149.444444444,247988.88888888888
75,2021/3/0/0,DTL,614356040000.0,16056606458.0,318086667967.0,353890006198.0,4570940760.0,,264362963636.0,1047152709818.0,988851122250.0,37.2,0.0,0.0,38687.22222222222,1022.2222222222222
76,2021/3/0/0,DTT,81518200000.0,480395837.0,39010509075.0,42801278115.0,13697944941.0,72000.0,19853236176.0,32395207926.0,21462533772.0,14.2,0.0,0.0,23803.75,1675.0
77,2021/3/0/0,DVP,400000000000.0,85532231003.0,80066916420.0,156635561640.0,30577154686.0,968000000000.0,91262574784.0,10735390613.0,132111667550.0,60.6,0.0,0.0,6767422.222222222,111766.66666666667
78,2021/3/0/0,DXV,99000000000.0,-1016032344.0,36572574266.0,38632858834.0,13277828205.0,15500000000.0,58508548118.0,28194116872.0,19959635440.0,8.45,0.0,0.0,941368.7777777778,140266.66666666666
79,2021/3/0/0,ELC,509282430000.0,13297211837.0,191259419715.0,210445908706.0,250113287081.0,28936781529.0,575377695103.0,157661936129.0,396278689229.0,28.5,0.0,0.0,22303747.777777776,797255.5555555555
80,2021/3/0/0,EMC,152973330000.0,752256275.0,140466359934.0,146079122862.0,1288892065.0,794178000.0,255255007298.0,275514609341.0,471834213310.0,0.0,0.0,0.0,12787.5,750.0
81,2021/3/0/0,EVE,419797730000.0,6360597282.0,107362818359.0,155149266701.0,149464875484.0,246790897867.0,184846440847.0,385557403103.0,270830356196.0,19.3,0.0,0.0,4120719.4444444445,215455.55555555556
82,2021/3/0/0,EVG,1050000000000.0,635169875.0,168735439266.0,173946951262.0,39381145897.0,,1106750910958.0,195335351368.0,320112508455.0,13.7,0.0,0.0,11529957.777777778,869222.2222222222
83,2021/3/0/0,FCM,410000000000.0,8827022590.0,144448397603.0,161626063644.0,42275750140.0,9597100000.0,466115502120.0,205139746611.0,313185760488.0,8.85,0.0,0.0,4244203.222222222,492444.44444444444
84,2021/3/0/0,FDC,386299880000.0,-312180302.0,27372294073.0,29362086713.0,13916454005.0,,375497019719.0,20924111606.0,181840411296.0,14.3,0.0,0.0,304754.44444444444,20944.444444444445
85,2021/3/0/0,FIR,270398640000.0,16487391013.0,36858787193.0,75245124143.0,95697850884.0,,314610303215.0,99625216193.0,257024503570.0,40.4,0.0,0.0,11165729.444444444,276866.6666666667
86,2021/3/0/0,FIT,2554427470000.0,30266059039.0,206353762497.0,277871218771.0,48803062208.0,1897439617478.0,747462675559.0,382714735141.0,923652067679.0,13.25,0.0,0.0,117305546.1111111,8977533.333333334
87,2021/3/0/0,FMC,588500000000.0,63629148642.0,1474602183587.0,1625322128960.0,500334254544.0,24768805000.0,686931462322.0,1008435660848.0,1159172709845.0,49.0,0.0,0.0,10751003.333333334,219388.88888888888
88,2021/3/0/0,FPT,9075516490000.0,1374615075418.0,5474243222947.0,8725171956972.0,5446784083688.0,16055301795066.0,6654818353847.0,1955072057943.0,25891181819535.0,95.8,0.0,0.0,220861261.1111111,2284411.111111111
89,2021/3/0/0,FRT,789817920000.0,47242301620.0,4298601407878.0,4993258547229.0,348801453330.0,1737642389041.0,2870057716985.0,2833512905176.0,7154892484056.0,54.9,0.0,0.0,92821434.44444445,1845644.4444444445
90,2021/3/0/0,FTM,500000000000.0,-37482112874.0,78683956618.0,88436655548.0,22856514693.0,220000000.0,792560948482.0,63813500530.0,1123545038254.0,5.58,0.0,0.0,9897695.444444444,1832266.6666666667
91,2021/3/0/0,GAB,138000000000.0,200881092.0,122768032800.0,125293958441.0,1731714552.0,,171971349803.0,12347875419.0,132737347325.0,196.4,0.0,0.0,69831.11111111111,355.55555555555554
92,2021/3/0/0,GAS,19139500000000.0,2463535760990.0,15135594633210.0,18542925212171.0,5994119472080.0,23594578773344.0,14762971629838.0,2376664348665.0,13841165658679.0,121.3,0.0,0.0,247526776.66666666,2097155.5555555555
