,YEAR,FOMULA,COMPANY,PRICE,BAN,VOLUME,MARKET CAP,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS,PROFIT,ValueARG,VolumeARG
23.00,2021/2/0/0,,BMP,59.40,60.00,818609380000.00,4862539717200.00,41833119838.00,1265603637253.00,1452317364216.00,81138287098.00,810000000000.00,337851971262.00,617467227886.00,437012043198.00,0.00,2050230769.23,36425.00
24.00,2021/2/0/0,,BTP,16.50,18.85,604856000000.00,998012400000.00,4971039567.00,396056884594.00,389713083140.00,175171362182.00,372650000000.00,317812850043.00,105539758672.00,327226809585.00,0.00,1163153846.15,77533.33
25.00,2021/2/0/0,,BWE,29.40,44.70,1929200000000.00,5671848000000.00,169573548437.00,456332813246.00,774480218845.00,382982878024.00,552572000000.00,788739730548.00,824762760626.00,1770333808595.00,0.00,31310615384.62,809363.64
26.00,2021/2/0/0,,C32,26.10,36.20,150301450000.00,392286784500.00,16720454251.00,115915834402.00,134534769149.00,37442272772.00,49450839974.00,257277392329.00,87999228383.00,300801404686.00,0.00,1431846153.85,61354.55
27.00,2021/2/0/0,,C47,12.60,15.70,187221430000.00,235899001800.00,11897905273.00,241809203488.00,268593867058.00,39240627861.00,0.00,217523970073.00,633371182038.00,881653938827.00,0.00,1023230769.23,95383.33
28.00,2021/2/0/0,,CAV,61.50,60.00,576000000000.00,3542400000000.00,109567598896.00,2756498131263.00,3067421612256.00,57526719423.00,0.00,1285224024600.00,3215484224196.00,4086569857517.00,0.00,111682676.92,1796.83
29.00,2021/2/0/0,,CCI,16.50,23.50,177438650000.00,292773772500.00,9891983679.00,77148551552.00,90136034505.00,18180771980.00,249198000000.00,21169750671.00,23875955689.00,27360686889.00,0.00,172461538.46,10200.00
30.00,2021/2/0/0,,CCL,13.05,17.95,474998850000.00,619873499250.00,25771250678.00,232087211720.00,302160868281.00,21525630880.00,0.00,779313386572.00,288251266124.00,508864977219.00,0.00,4566384615.38,387333.33
31.00,2021/2/0/0,,CDC,15.50,16.50,219794684000.00,340681760200.00,3376805510.00,146814038447.00,153788237292.00,14883321937.00,375943249734.00,338472999663.00,246151811683.00,712501637219.00,0.00,103923076.92,8636.36
32.00,2021/2/0/0,,CHP,18.70,21.40,1469126680000.00,2747266891600.00,26574803609.00,85805562359.00,147788583749.00,159631204836.00,0.00,142354359892.00,8372083677.00,293083179210.00,0.00,519384615.38,26081.82
33.00,2021/2/0/0,,CII,20.30,22.90,2832095780000.00,5749154433400.00,56821102502.00,686492483847.00,1068855691978.00,396301388526.00,653980206875.00,5139490461487.00,5400198627295.00,9214030848716.00,0.00,25149307692.31,1600200.00
34.00,2021/2/0/0,,CKG,15.50,28.00,824997810000.00,1278746605500.00,40298516119.00,96938690307.00,167686308090.00,83529539091.00,500000000.00,1257289698573.00,2898545004947.00,1833569845926.00,0.00,41678769230.77,2369127.27
35.00,2021/2/0/0,,CLC,38.10,38.90,262075830000.00,998508912300.00,35729107496.00,468970438995.00,541803009656.00,44796914193.00,0.00,226272223081.00,643993657749.00,258094508516.00,0.00,232615384.62,7218.18
36.00,2021/2/0/0,,CLL,31.00,37.25,340000000000.00,1054000000000.00,19081433872.00,39656612607.00,66356513679.00,205570203631.00,46206575342.00,82009052944.00,1055347125.00,32235721872.00,0.00,159692307.69,4609.09
37.00,2021/2/0/0,,CMX,13.85,17.30,304087510000.00,421161201350.00,21595013033.00,653027973221.00,718061410378.00,2321692984.00,8232635616.00,487046293338.00,517780928862.00,961036802522.00,0.00,2594230769.23,179966.67
38.00,2021/2/0/0,,CNG,21.50,37.05,270000000000.00,580500000000.00,20692453367.00,773823938423.00,828574692194.00,188175371185.00,64288000000.00,455426562568.00,61945058592.00,598269108111.00,0.00,2433076923.08,102816.67
39.00,2021/2/0/0,,CRC,10.30,12.40,150000000000.00,154500000000.00,4121425080.00,108197341353.00,114549058329.00,15744970067.00,80633036300.00,124686014131.00,39284667996.00,212596452926.00,0.00,1895615384.62,185381.82
40.00,2021/2/0/0,,CRE,41.60,35.31,959999080000.00,3993596172800.00,128372410460.00,1369402380447.00,1644247999667.00,108503403828.00,250000000000.00,1808767245596.00,1291156246172.00,1976346052265.00,0.00,69024076923.08,1363536.36
41.00,2021/2/0/0,,CSM,18.60,18.00,1036264670000.00,1927452286200.00,22842196873.00,1244267374991.00,1392995619055.00,351907716900.00,0.00,1121659101095.00,1355604151713.00,2831009804950.00,0.00,419692307.69,20027.27
42.00,2021/2/0/0,,CSV,27.80,54.30,442000000000.00,1228760000000.00,58218926039.00,297623372360.00,401787074951.00,129402009755.00,115000000000.00,219337566203.00,255113593915.00,228340540953.00,0.00,18475538461.54,597872.73
43.00,2021/2/0/0,,CTD,62.50,74.10,792550000000.00,4953437500000.00,44888799217.00,2415698730227.00,2550411691809.00,652103578595.00,3015470750000.00,6962967075851.00,1419915875304.00,5225313830348.00,0.00,17690846153.85,286336.36
44.00,2021/2/0/0,,CTF,20.35,20.50,683000000000.00,1389905000000.00,873510573.00,1272679257376.00,1356309253043.00,27862276939.00,0.00,774917570991.00,475259234149.00,1003560634342.00,0.00,5974384615.38,291075.00
45.00,2021/2/0/0,,CTI,16.35,20.00,629999970000.00,1030049950950.00,17592820505.00,117539580701.00,202661303295.00,190618353054.00,0.00,281701764665.00,222018689182.00,549879121127.00,0.00,6631153846.15,470225.00
46.00,2021/2/0/0,,CVT,43.30,38.00,366908870000.00,1588715407100.00,31176571428.00,269859250940.00,318204391501.00,50502852631.00,147000000000.00,72579608087.00,439995154057.00,547455720451.00,0.00,287923076.92,7141.67
47.00,2021/2/0/0,,D2D,52.80,66.30,303047580000.00,1600091222400.00,61459617356.00,29850610954.00,109144064259.00,151692382654.00,732000000000.00,89526366248.00,170684761039.00,292385798522.00,0.00,5962769230.77,118563.64
48.00,2021/2/0/0,,DAH,6.10,9.62,342000000000.00,208620000000.00,6955779711.00,107696835669.00,127064213595.00,1055268415.00,20000000000.00,97642215970.00,38145530104.00,80475762225.00,0.00,8156384615.38,545127.27
49.00,2021/2/0/0,,DBC,57.20,61.50,1152394300000.00,6591695396000.00,214893955153.00,2126048145118.00,2596412873716.00,156179847989.00,525354335625.00,406460677422.00,4129533283008.00,4716241677917.00,0.00,76717153846.15,1495281.82
50.00,2021/2/0/0,,DBD,45.90,49.50,576124440000.00,2644411179600.00,55977894198.00,164645197984.00,310845304243.00,87326031644.00,79541393300.00,450990897227.00,266657967145.00,282196605343.00,0.00,478230769.23,13036.36
51.00,2021/2/0/0,,DBT,12.10,17.25,142051160000.00,171881903600.00,4422159189.00,115425273356.00,156433303881.00,30714567142.00,21000000000.00,173748077410.00,371600735315.00,565956891948.00,0.00,1460615384.62,117390.91
52.00,2021/2/0/0,,DC4,16.40,22.25,319997580000.00,524796031200.00,20257089353.00,223529265106.00,265875670446.00,44803359314.00,488109.00,311920653027.00,256471042215.00,331902042070.00,0.00,152615384.62,11118.18
53.00,2021/2/0/0,,DCL,32.50,36.90,568328240000.00,1847066780000.00,32680612113.00,131656517924.00,188744170727.00,31761026856.00,788717184931.00,235625685645.00,286009083249.00,812108059079.00,0.00,12939846153.85,188954.55
54.00,2021/2/0/0,,DCM,16.05,34.00,5294000000000.00,8496870000000.00,278785090417.00,1846687742672.00,2363563291105.00,1159558420808.00,2932000000000.00,227228981769.00,886077063018.00,2739502343832.00,0.00,101840923076.92,5027141.67
55.00,2021/2/0/0,,DGC,75.70,155.70,1710805560000.00,12950798089200.00,333128232639.00,1543593253080.00,2038543324066.00,52027251455.00,1903908150945.00,908616467821.00,935994941311.00,1741076394248.00,0.00,149912692307.69,1731509.09
56.00,2021/2/0/0,,DGW,117.40,114.50,443517470000.00,5206895097800.00,116572166880.00,3912418968345.00,4217540634983.00,1024843356321.00,0.00,1187501705492.00,975014019616.00,2026026009872.00,0.00,57424230769.23,403600.00
57.00,2021/2/0/0,,DHA,49.30,56.50,151199460000.00,745413337800.00,24845799317.00,64392007666.00,95840922475.00,43195740404.00,185026903657.00,79914899258.00,139950000.00,37411364346.00,0.00,692538461.54,17375.00
58.00,2021/2/0/0,,DHC,94.30,90.90,559957830000.00,5280402336900.00,128195548082.00,904919225975.00,1080112508410.00,185992693530.00,9022773266.00,685209479726.00,382386847182.00,884469613158.00,0.00,28408461538.46,301427.27
59.00,2021/2/0/0,,DHG,102.50,102.30,1307460710000.00,13401472277500.00,200464709692.00,484609873390.00,947836084449.00,67330218153.00,2181000000000.00,362737456761.00,989031530188.00,1053273582743.00,0.00,1108384615.38,11681.82
60.00,2021/2/0/0,,DHM,10.20,13.75,313961800000.00,320241036000.00,388251983.00,341540550277.00,344054716957.00,2132785434.00,40000000000.00,120365709695.00,191266085267.00,417833814710.00,0.00,5005461538.46,435990.91
61.00,2021/2/0/0,,DIG,27.80,54.40,4098909620000.00,11394968743600.00,53260858504.00,400425420749.00,615780936334.00,362633845292.00,81988482192.00,2568056084874.00,4596747271032.00,6355792472176.00,0.00,190407615384.62,6142372.73
62.00,2021/2/0/0,,DLG,3.15,7.26,2993097200000.00,942825618000.00,10919405792.00,420151779790.00,480436121578.00,136629584198.00,0.00,2415661149906.00,330485550721.00,2989540936927.00,0.00,11994230769.23,3198572.73
