,YEAR,FOMULA,COMPANY,PRICE,BAN,VOLUME,MARKET CAP,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS,PROFIT,ValueARG,VolumeARG
644.00,2020/4/0/0,,FLC,6.10,10.45,7099978070000.00,4330986622700.00,1083436917092.00,1523477451301.00,1862422999074.00,293067894497.00,87404009729.00,5959170406242.00,2036871355716.00,9095044485111.00,1.71,200295461538.00,32637538.46
645.00,2020/4/0/0,,FMC,29.50,31.15,490440000000.00,1446798000000.00,63579192715.00,1053965042661.00,1209415253182.00,268186019385.00,9538607055.00,305226250052.00,608296710838.00,619648166683.00,1.06,6136153846.00,199484.62
646.00,2020/4/0/0,,FPT,71.30,82.90,7839874860000.00,55898307751800.00,1252588701741.00,5195783662734.00,8666704612977.00,4684867868361.00,12435918124269.00,6263024543620.00,1290091524352.00,22382164623421.00,1.16,203220538462.00,3095907.69
647.00,2020/4/0/0,,FRT,25.90,26.90,789817920000.00,2045628412800.00,1018316065.00,3398539598104.00,3937217682242.00,701504239399.00,788158684912.00,1501046972372.00,1829530448764.00,4165253647733.00,1.04,46835692308.00,1666669.23
648.00,2020/4/0/0,,FTM,1.63,2.84,500000000000.00,81500000000.00,-49240143309.00,36718666531.00,36719806067.00,1539895587.00,220000000.00,792559722307.00,25238436612.00,930498946178.00,1.74,862230769.00,467361.54
649.00,2020/4/0/0,,GAB,194.30,191.00,138000000000.00,2681340000000.00,661317871.00,84832628012.00,90077966177.00,747249484.00,0.00,96642799676.00,10116052967.00,58072948504.00,0.98,554384615.00,2853.85
650.00,2020/4/0/0,,GDT,38.70,51.50,171369680000.00,663200661600.00,28095528140.00,84441275618.00,124083066517.00,896972677.00,171500000000.00,41540661053.00,71277351429.00,123939881989.00,1.33,656230769.00,16930.77
651.00,2020/4/0/0,,GEG,17.00,17.30,2711751880000.00,4609978196000.00,90518598164.00,325841411890.00,534494882117.00,135405178447.00,0.00,1443161511426.00,151972986314.00,1092499627307.00,1.02,14736692308.00,833030.77
652.00,2020/4/0/0,,GEX,20.10,26.40,4882440000000.00,9813704400000.00,324958503385.00,5032897015073.00,5888429781294.00,1561762324627.00,1728196377863.00,6273798681177.00,3226999893488.00,10906300944309.00,1.31,121830384615.00,5818346.15
653.00,2020/4/0/0,,GIL,57.60,79.10,360000000000.00,2073600000000.00,118573124845.00,700378384830.00,911065461455.00,586730349036.00,357145959500.00,630024353120.00,511405345772.00,1417286669854.00,1.37,34577384615.00,709230.77
654.00,2020/4/0/0,,GMC,29.30,28.35,300052800000.00,879154704000.00,34232420441.00,292854430783.00,360884764705.00,583690750066.00,0.00,172662237349.00,239055912912.00,548642276070.00,0.97,1845384615.00,64476.92
655.00,2020/4/0/0,,GMD,29.55,33.90,3013779570000.00,8905718629350.00,65133379430.00,505738070324.00,703021926020.00,427676343151.00,23437445943.00,762725411075.00,72662885671.00,1761873856986.00,1.15,103180692308.00,3417753.85
656.00,2020/4/0/0,,GSP,11.90,13.70,360000000000.00,428400000000.00,17889947355.00,355510459885.00,385651277766.00,78805217023.00,177500000000.00,91761229764.00,13673610101.00,231650582459.00,1.15,441538462.00,36361.54
657.00,2020/4/0/0,,GTN,23.45,17.10,2500000000000.00,5862500000000.00,75582107554.00,471737896659.00,681907072624.00,946688810971.00,1335152120000.00,168724911171.00,206696545521.00,253548693614.00,0.73,51293692308.00,2083607.69
658.00,2020/4/0/0,,GVR,23.95,25.25,40000000000000.00,95800000000000.00,3197273215077.00,6684033305103.00,9054410962130.00,6218511805791.00,9776216621332.00,2924493801010.00,2289866131801.00,10564859042532.00,1.05,148021615385.00,5384692.31
659.00,2020/4/0/0,,HAG,4.33,5.28,9274679470000.00,4015936210510.00,-1525641051000.00,1082187580000.00,913712893000.00,97275396000.00,0.00,7672848395000.00,2286994426000.00,15096673491000.00,1.22,61459923077.00,11893269.23
660.00,2020/4/0/0,,HAH,16.90,26.25,487827510000.00,824428491900.00,54739237145.00,281112049533.00,361721997498.00,221024298549.00,79993231056.00,307576580013.00,45700049216.00,320362315214.00,1.55,17811307692.00,1035938.46
661.00,2020/4/0/0,,HAI,2.87,4.87,1826827990000.00,524299633130.00,7556891757.00,196544714436.00,199197966777.00,3241143400.00,276453768950.00,1928024560653.00,356377347892.00,764113575455.00,1.70,14491153846.00,4569961.54
662.00,2020/4/0/0,,HAR,4.57,5.30,1013501000000.00,463169957000.00,466765345.00,125366008345.00,135219149065.00,33532011646.00,0.00,133124391075.00,0.00,13380369683.00,1.16,3660076923.00,669253.85
663.00,2020/4/0/0,,HAS,9.30,15.80,80000000000.00,74400000000.00,1669168237.00,52748950928.00,56480556314.00,18876504962.00,10654079179.00,136831555137.00,7703606864.00,59263915827.00,1.70,115769231.00,13192.31
664.00,2020/4/0/0,,HAX,18.85,26.00,367443990000.00,692631921150.00,62881938717.00,1700441778413.00,1818710041768.00,81458070905.00,0.00,262220727553.00,564175014480.00,693391627386.00,1.38,7941153846.00,409100.00
665.00,2020/4/0/0,,HBC,15.35,15.10,2308753980000.00,3543937359300.00,7208059468.00,3020550500007.00,3182982432156.00,247900431033.00,10744414417.00,10570128261546.00,2524932789488.00,10719252823828.00,0.98,168987307692.00,10034100.00
666.00,2020/4/0/0,,HCD,2.49,4.60,270000000000.00,67230000000.00,915062301.00,190761878075.00,195132199174.00,9942182094.00,6000000000.00,176788999547.00,143994625055.00,104210958872.00,1.85,1451000000.00,525815.38
667.00,2020/4/0/0,,HDC,39.40,40.30,665158370000.00,2620723977800.00,121750935989.00,102953542151.00,289018566677.00,29928379415.00,9544079684.00,455095165164.00,1606368887118.00,1726882537348.00,1.02,39530307692.00,1037438.46
668.00,2020/4/0/0,,HDG,38.60,39.20,1542750180000.00,5955015694800.00,298006427613.00,565006691131.00,1167920587078.00,437921796024.00,65250000000.00,1798600608580.00,1642564279739.00,3818346993199.00,1.02,79488692308.00,1969446.15
669.00,2020/4/0/0,,HHP,13.10,12.46,180000000000.00,235800000000.00,6995134484.00,183452728411.00,197938297639.00,10762527750.00,1000000000.00,195050437718.00,56058187506.00,232870259115.00,0.95,2161150231.00,173055.77
670.00,2020/4/0/0,,HHS,5.40,6.68,2747440630000.00,1483617940200.00,40465160404.00,152200728230.00,162404480520.00,143098383082.00,261505000000.00,68408888795.00,133388561217.00,149878616015.00,1.24,32201307692.00,5229223.08
671.00,2020/4/0/0,,HII,23.35,22.80,320275000000.00,747842125000.00,11218925019.00,1062532927697.00,1147465638305.00,67128991364.00,74000000000.00,600073835143.00,205217620149.00,930793816681.00,0.98,10947846154.00,508846.15
672.00,2020/4/0/0,,HMC,16.00,24.15,210000000000.00,336000000000.00,33445570822.00,1009474223910.00,1089175188323.00,13874736655.00,9500000000.00,258582528255.00,461467131616.00,448290277566.00,1.51,781307692.00,48276.92
673.00,2020/4/0/0,,HNG,10.45,11.20,11085538950000.00,11584388202750.00,363496835000.00,808753008000.00,607924178000.00,26706408000.00,0.00,3980049071000.00,2176778301000.00,10970769065000.00,1.07,81331076923.00,6570730.77
674.00,2020/4/0/0,,HPG,40.90,59.80,33132826590000.00,135513260753100.00,4660721480549.00,19510833657232.00,25778071108467.00,13001001772526.00,8822092675380.00,6124790460291.00,26286822229202.00,51975217453875.00,1.46,1194523230769.00,29177092.31
675.00,2020/4/0/0,,HPX,38.50,33.95,2644945820000.00,10183041407000.00,186782807855.00,294247183083.00,412189794883.00,603397534147.00,262719803286.00,2002477663452.00,2286565032775.00,2585858235808.00,0.88,24353615385.00,674776.92
676.00,2020/4/0/0,,HQC,2.24,3.61,4766000000000.00,1067584000000.00,1139276144.00,54653440028.00,78138717994.00,29143113189.00,0.00,2882343614473.00,517823253876.00,2586101177100.00,1.61,51064307692.00,20088761.54
677.00,2020/4/0/0,,HRC,63.10,70.00,302066220000.00,1906037848200.00,5509635812.00,76441743495.00,78618590844.00,29691705345.00,220000000000.00,31880145642.00,22713663428.00,362627985809.00,1.11,148076923.00,2476.92
678.00,2020/4/0/0,,HSG,24.00,33.60,4446252130000.00,10671005112000.00,450032603980.00,6817769555610.00,8345293164929.00,574767066704.00,516043836.00,2024273013463.00,5526490507311.00,8998791992280.00,1.40,254087615385.00,10557776.92
679.00,2020/4/0/0,,HSL,5.15,7.10,171671440000.00,88410791600.00,7503596001.00,84556506237.00,93232623921.00,8403314001.00,0.00,100233181246.00,17992697764.00,13843605085.00,1.38,1049230769.00,187392.31
680.00,2020/4/0/0,,HT1,17.00,16.20,3815899110000.00,6487028487000.00,154076974903.00,1905270463696.00,2211950774497.00,1078523895908.00,13884098881.00,489301599320.00,716899613489.00,4618110889340.00,0.95,12645846154.00,746776.92
681.00,2020/4/0/0,,HTI,16.00,16.95,249492000000.00,399187200000.00,15954792623.00,51548680942.00,101552104554.00,70664029094.00,0.00,6942327749.00,255349085.00,55281061543.00,1.06,1916769231.00,114261.54
682.00,2020/4/0/0,,HTN,32.80,40.00,330622210000.00,1084440848800.00,58985288860.00,883218496741.00,1039789736571.00,123044611788.00,51000000000.00,3400965633130.00,1195289303302.00,4388973535414.00,1.22,6500384615.00,167384.62
683.00,2020/4/0/0,,HUB,28.35,25.00,190573160000.00,540274908600.00,17104749336.00,127962925660.00,142093008894.00,41694883914.00,113403358904.00,115992582941.00,141057512552.00,222016805997.00,0.88,884923077.00,32861.54
684.00,2020/4/0/0,,HVH,8.94,10.50,219499950000.00,196232955300.00,2871473782.00,105315253256.00,115359668321.00,5184087069.00,14800000000.00,164943140516.00,54842960454.00,153111687427.00,1.17,1717307692.00,183130.77
685.00,2020/4/0/0,,HVN,26.35,27.30,14182908470000.00,37371963818450.00,-422041546818.00,7686980960246.00,8202383377146.00,1646929533501.00,494031718663.00,3795038465897.00,1849667199542.00,33036911271830.00,1.04,23583538462.00,868615.38
686.00,2020/4/0/0,,IBC,20.90,24.10,815897350000.00,1705225461500.00,81305662922.00,1231671421505.00,1951955344548.00,203396212898.00,0.00,1078125098133.00,52639061226.00,1694555957832.00,1.15,2760000000.00,134938.46
687.00,2020/4/0/0,,ICT,21.50,18.90,321850000000.00,691977500000.00,9775160577.00,627695765661.00,662727832485.00,294145849849.00,20000000000.00,1088338154348.00,521529379323.00,1444725591815.00,0.88,2328692308.00,98453.85
688.00,2020/4/0/0,,IDI,5.56,6.20,2276446080000.00,1265704020480.00,34257890899.00,1772398137932.00,1917605803479.00,539544086322.00,920783636414.00,2444644776610.00,1507786406159.00,4268450169569.00,1.12,13669538462.00,2159415.39
689.00,2020/4/0/0,,IJC,24.15,25.65,1370973230000.00,3310900350450.00,144694954004.00,75099434327.00,302513248801.00,289974538387.00,8305000000.00,761791247829.00,3653814421903.00,2247399833948.00,1.06,59457076923.00,2481423.08
690.00,2020/4/0/0,,ILB,21.70,23.80,245022450000.00,531698716500.00,20264764240.00,78694910451.00,121834206127.00,147227635195.00,0.00,113054467595.00,0.00,307558633897.00,1.10,2501615385.00,110046.15
691.00,2020/4/0/0,,IMP,55.30,72.50,667053700000.00,3688806961000.00,70378370716.00,288524222538.00,487014695785.00,85268705365.00,63607855260.00,398091289641.00,424237469275.00,346932038104.00,1.31,2516538462.00,45023.08
692.00,2020/4/0/0,,ITA,5.99,7.03,9384636070000.00,5621397005930.00,-10138633365.00,91077301300.00,94097639877.00,87845217569.00,0.00,2048259599686.00,4059902761700.00,1951921389381.00,1.17,102861846154.00,14937061.54
693.00,2020/4/0/0,,ITC,16.45,15.50,797262940000.00,1311497536300.00,56931861276.00,428486684630.00,614161913846.00,42851317969.00,0.00,447084243812.00,1798863973946.00,1735433604278.00,0.94,1957384615.00,111738.46
694.00,2020/4/0/0,,ITD,10.65,12.75,190647980000.00,203040098700.00,24748346233.00,149180206217.00,205044370779.00,38524681196.00,84996869484.00,236053125830.00,127659690792.00,271724069490.00,1.20,1011923077.00,94715.38
695.00,2020/4/0/0,,KBC,37.20,37.55,4757111670000.00,17696455412400.00,200933809540.00,1038087401354.00,1224633207046.00,999127183838.00,1990283177119.00,6675276180948.00,11303332005934.00,6832685154482.00,1.01,437987076923.00,11352415.38
696.00,2020/4/0/0,,KDC,40.80,51.10,2797413560000.00,11413447324800.00,76923636542.00,1891893546012.00,2340746545609.00,1102117058476.00,687400411907.00,2354686044867.00,1210676036690.00,3829632690179.00,1.25,49099692308.00,1210830.77
697.00,2020/4/0/0,,KDH,31.00,36.95,5786572190000.00,17938373789000.00,383099733000.00,623176763000.00,1291032502000.00,1826215294000.00,9532583000.00,3483453148000.00,7338047180000.00,4156542704000.00,1.19,47213692308.00,1447507.69
698.00,2020/4/0/0,,KHP,6.75,6.55,575710160000.00,388604358000.00,314302411516.00,611440372709.00,1053925494163.00,231406724419.00,198717000000.00,166729503260.00,80009676395.00,587005887780.00,0.97,2741769231.00,364161.54
699.00,2020/4/0/0,,KMR,2.68,3.76,568814430000.00,152442267240.00,-3486951992.00,53118231005.00,62212558376.00,39599258599.00,0.00,151035333562.00,576211110215.00,497254157177.00,1.40,692846154.00,241730.77
700.00,2020/4/0/0,,KOS,24.65,25.90,1037500000000.00,2557437500000.00,16133967836.00,590635426402.00,626973253411.00,19765548120.00,5084456329.00,795426948153.00,1035008444850.00,712889701597.00,1.05,9526538462.00,391646.15
701.00,2020/4/0/0,,KPF,11.90,11.95,180178960000.00,214412962400.00,25169720819.00,0.00,30500000000.00,47811030875.00,0.00,165772068818.00,317085547302.00,702706844564.00,1.00,265384615.00,21638.46
702.00,2020/4/0/0,,TS4,4.08,4.60,161606460000.00,65935435680.00,-655457696.00,161266653064.00,180642026925.00,255638146.00,0.00,165305575976.00,627499818166.00,705930195092.00,1.13,,15553.85
703.00,2020/4/0/0,,SFG,7.67,8.62,478973330000.00,367372544110.00,-1001569707.00,273892008010.00,287683064655.00,86263067512.00,0.00,294760496964.00,418297118838.00,495777508909.00,1.12,250230769.00,30715.38
704.00,2020/4/0/0,,LAF,11.70,15.80,147280190000.00,172317822300.00,15889123085.00,102182367619.00,129077411323.00,11904455933.00,13009101472.00,28364336969.00,73268246865.00,46434851475.00,1.35,176153846.00,14092.31
705.00,2020/4/0/0,,LBM,56.00,62.00,100000000000.00,560000000000.00,15548385983.00,125339315445.00,165911032304.00,61932957117.00,0.00,81816025832.00,50051227066.00,71671120189.00,1.11,762076923.00,15738.46
706.00,2020/4/0/0,,LCG,13.50,13.15,1172485100000.00,1582854885000.00,130618054924.00,1252930641181.00,1306925982551.00,340926305697.00,0.00,2799827668816.00,727334514953.00,3280471828972.00,0.97,64452615385.00,4762069.23
707.00,2020/4/0/0,,LCM,1.43,2.68,246330000000.00,35225190000.00,1395491816.00,15865386154.00,16351896000.00,642518185.00,0.00,25715268106.00,17491808060.00,24438566256.00,1.87,286538462.00,212461.54
708.00,2020/4/0/0,,LDG,6.75,7.32,2402124510000.00,1621434044250.00,342193711.00,130844674679.00,197329043713.00,10337886480.00,0.00,2700963614254.00,1094811680835.00,2422377786242.00,1.08,63505846154.00,8288100.00
709.00,2020/4/0/0,,LGL,5.60,6.39,515000000000.00,288400000000.00,71402124707.00,41322923169.00,43524962459.00,67283176259.00,5320423600.00,640760585771.00,376806957795.00,883139945758.00,1.14,463692308.00,81630.77
710.00,2020/4/0/0,,LHG,32.20,37.35,500120100000.00,1610386722000.00,65254613119.00,89698389667.00,183580472713.00,260489785702.00,433058716476.00,314229749412.00,699653093022.00,757299008108.00,1.16,9970384615.00,296661.54
711.00,2020/4/0/0,,LIX,51.00,57.60,324000000000.00,1652400000000.00,70200772970.00,542680937033.00,682986123755.00,13994257317.00,0.00,193757141333.00,278307687621.00,372270557766.00,1.13,4456538462.00,86300.00
712.00,2020/4/0/0,,LSS,10.80,11.45,700000000000.00,756000000000.00,3353896954.00,455712448275.00,504913406834.00,25773961483.00,0.00,334871031081.00,279573052561.00,731739103340.00,1.06,8634230769.00,833361.54
713.00,2020/4/0/0,,MCG,2.61,3.07,575100000000.00,150101100000.00,-3449914363.00,33836881681.00,39747481704.00,1820363311.00,11643864163.00,344595984243.00,302855116196.00,507847038202.00,1.18,185615385.00,65130.77
714.00,2020/4/0/0,,MHC,7.00,11.65,414069640000.00,289848748000.00,13401319964.00,4061178804.00,4106723200.00,12482983503.00,397604172497.00,428346145172.00,0.00,87167692821.00,1.66,7728307692.00,938500.00
715.00,2020/4/0/0,,MSH,44.00,53.20,500094000000.00,2200413600000.00,66410623990.00,639345474862.00,843639632292.00,136083117843.00,754222907924.00,395670356347.00,614972626774.00,1185555218921.00,1.21,5731153846.00,132130.77
716.00,2020/4/0/0,,MSN,85.60,95.90,11746832000000.00,100552881920000.00,584393000000.00,16384772000000.00,21599531000000.00,7721442000000.00,447250000000.00,7051442000000.00,12497917000000.00,38874663000000.00,1.12,212250153846.00,2360292.31
717.00,2020/4/0/0,,MWG,128.50,139.40,4532099870000.00,58237483329500.00,942297050127.00,20919028286020.00,27193693347559.00,7347957397925.00,8057318821918.00,1703464670665.00,19422177452674.00,29530827091538.00,1.08,227217846154.00,1782900.00
718.00,2020/4/0/0,,NAF,22.30,21.00,599267850000.00,1336367305500.00,12506583410.00,227065085642.00,292376126840.00,25603372725.00,17200000000.00,732664720429.00,178217215451.00,602664376151.00,0.94,5485692308.00,245915.38
719.00,2020/4/0/0,,NBB,25.00,27.50,1004756560000.00,2511891400000.00,181718705047.00,1403351759062.00,1768983928481.00,67500904393.00,0.00,1117916870163.00,2556724861708.00,1759798447460.00,1.10,147769231.00,6276.92
720.00,2020/4/0/0,,NCT,68.20,74.10,261669400000.00,1784585308000.00,52494078034.00,108500792669.00,193281577388.00,55157678425.00,201655000000.00,62065538436.00,2580568356.00,85208190273.00,1.09,3228153846.00,47176.92
721.00,2020/4/0/0,,NHA,24.40,30.90,241449650000.00,589137146000.00,15608980074.00,76179795895.00,94259821094.00,270754680.00,13000000000.00,66106594410.00,39661863714.00,35284283803.00,1.27,4646750000.00,205700.00
722.00,2020/4/0/0,,NHH,73.50,64.40,364400000000.00,2678340000000.00,81498052073.00,262574424837.00,318012212396.00,75718057600.00,20000000000.00,225974454484.00,212923863859.00,583055137167.00,0.88,22535692308.00,338892.31
723.00,2020/4/0/0,,NKG,14.60,27.50,1819998680000.00,2657198072800.00,153983317637.00,3110685264116.00,3418143236980.00,219161716845.00,369526402595.00,1438750967483.00,2150334131801.00,3878316677849.00,1.88,77816615385.00,4921515.39
724.00,2020/4/0/0,,NLG,32.30,38.50,2852706600000.00,9214242318000.00,633047353535.00,668021896903.00,918450344745.00,1096219425836.00,46350356992.00,1968581399877.00,6027722360194.00,4385813103761.00,1.19,61266307692.00,1836453.85
725.00,2020/4/0/0,,NNC,36.35,28.65,219200000000.00,796792000000.00,37279364637.00,45133068873.00,89949883644.00,50805367536.00,129989.00,86275973136.00,69524409129.00,79152556662.00,0.79,1666076923.00,44661.54
726.00,2020/4/0/0,,NSC,73.50,75.30,175869880000.00,1292643618000.00,70019624591.00,456632945202.00,666576195141.00,262078958511.00,5800000000.00,312161280074.00,316871291405.00,568502275222.00,1.02,961615385.00,12915.38
727.00,2020/4/0/0,,NT2,22.50,20.70,2878760290000.00,6477210652500.00,203158197007.00,1046730992692.00,1330790024282.00,61697957370.00,490790416.00,1488929248565.00,315079777011.00,2083242736828.00,0.92,16810692308.00,708569.23
728.00,2020/4/0/0,,NTL,23.25,23.95,609899500000.00,1418016337500.00,158794675728.00,118211456189.00,336104667707.00,288288757537.00,0.00,262903885206.00,1160577538864.00,544199383396.00,1.03,28164384615.00,1165530.77
729.00,2020/4/0/0,,NVL,77.70,131.50,9862852970000.00,76634367576900.00,586170591296.00,794538481587.00,1222968945762.00,11558787555672.00,822810253961.00,13820066316803.00,86847371313369.00,31432855702786.00,1.69,281609923077.00,3570092.31
730.00,2020/4/0/0,,OGC,5.72,6.25,3000000000000.00,1716000000000.00,34888708587.00,219787136413.00,405749020449.00,288488166924.00,268814834615.00,977904813478.00,278457091668.00,1285447100474.00,1.09,5389769231.00,776846.15
731.00,2020/4/0/0,,OPC,60.00,61.50,265772800000.00,1594636800000.00,27633683888.00,177427143019.00,291479576660.00,59436849289.00,30403995881.00,149278338347.00,538564090611.00,437156979399.00,1.03,206000000.00,3161.54
732.00,2020/4/0/0,,PAC,28.20,35.10,464717070000.00,1310502137400.00,44727328440.00,572826255871.00,711254327157.00,149345138970.00,673414528953.00,165494131114.00,690614750197.00,1601462784134.00,1.24,814384615.00,29161.54
733.00,2020/4/0/0,,PAN,24.60,24.90,2163585800000.00,5322421068000.00,151583770349.00,1975796926106.00,2546316396218.00,2039356316777.00,1239198531436.00,1378053243936.00,1456043959898.00,3695633376555.00,1.01,32639461538.00,1175538.46
734.00,2020/4/0/0,,PC1,25.60,25.50,1911881590000.00,4894416870400.00,143513438210.00,2152842746343.00,2472081179601.00,1475767070027.00,62891072771.00,3420893012028.00,749710917349.00,3743512625911.00,1.00,25991000000.00,1119284.62
735.00,2020/4/0/0,,PDR,61.30,88.84,3961698970000.00,24285214686100.00,501489276199.00,692445183170.00,1412107832074.00,53170282508.00,12180299200.00,1524717512889.00,9308471099961.00,4365397783221.00,1.45,208047076923.00,3751553.85
736.00,2020/4/0/0,,PET,14.90,20.50,866001240000.00,1290341847600.00,30630390399.00,3975144556529.00,4188886383455.00,1808197294965.00,218009602376.00,2484484049157.00,782317357474.00,4755566096033.00,1.38,31786538462.00,1990407.69
737.00,2020/4/0/0,,PGC,16.80,16.75,603426380000.00,1013756318400.00,30247344099.00,1079117376578.00,1288114739253.00,53562218661.00,740090000000.00,336914299288.00,130383705467.00,1037681390640.00,1.00,862846154.00,50300.00
738.00,2020/4/0/0,,PGD,29.90,29.00,899990250000.00,2690970847500.00,67303116718.00,1916659047176.00,2119983532111.00,1724427735531.00,0.00,797813818786.00,64171421429.00,1942638057333.00,0.97,133153846.00,4269.23
739.00,2020/4/0/0,,PHC,10.45,13.95,257482600000.00,269069317000.00,3149182186.00,271470158412.00,344380962574.00,84260487289.00,78214514383.00,1182509192928.00,468343819613.00,1569072074010.00,1.33,949692308.00,84646.15
740.00,2020/4/0/0,,PHR,57.40,51.00,1354991980000.00,7777653965200.00,398445586930.00,559055551475.00,746189375780.00,426963672949.00,2071504409574.00,242811427113.00,293135767347.00,1146979676042.00,0.89,64756230769.00,1065738.46
741.00,2020/4/0/0,,PLP,8.89,10.10,400000000000.00,355600000000.00,15402427163.00,390775625270.00,434940539385.00,36798636810.00,8700000000.00,445829390887.00,277778751982.00,709091160227.00,1.14,8175076923.00,807530.77
742.00,2020/4/0/0,,PLX,52.00,49.65,12938780810000.00,67281660212000.00,1006765478479.00,27560242500530.00,31276771675485.00,10623961350697.00,8553715967218.00,7205532262887.00,9420844435377.00,35373458627842.00,0.95,48903000000.00,949046.15
743.00,2020/4/0/0,,PMG,19.00,22.10,463362780000.00,880389282000.00,203226008.00,260284316925.00,310275606834.00,84051907860.00,0.00,189666281476.00,25578514868.00,574465116198.00,1.16,110615385.00,6361.54
744.00,2020/4/0/0,,PNJ,80.90,96.00,2276123620000.00,18413840085800.00,427301574221.00,4665569863768.00,5842951745863.00,422234781061.00,0.00,100363015565.00,6544772899429.00,3232132159428.00,1.19,61668538462.00,750384.62
745.00,2020/4/0/0,,POM,13.20,18.25,2796763360000.00,3691727635200.00,144381026079.00,2312483023024.00,2544414255032.00,93217356440.00,0.00,3179645435298.00,2258717059813.00,6183284869847.00,1.38,2893692308.00,213523.08
746.00,2020/4/0/0,,POW,12.15,12.05,23418716000000.00,28453739940000.00,1006291493971.00,6188263085801.00,7914243059029.00,7069701543243.00,788594344271.00,7126291026858.00,1727846440070.00,15481905075508.00,0.99,147518384615.00,11424892.31
747.00,2020/4/0/0,,PPC,25.30,29.20,3262350000000.00,8253745500000.00,502321358102.00,1320390588418.00,1872230648240.00,273399825071.00,1515000000000.00,1746070169167.00,696960373839.00,963512247049.00,1.15,15380307692.00,579400.00
748.00,2020/4/0/0,,PSH,18.00,24.20,1261967800000.00,2271542040000.00,15815978415.00,768589660664.00,991194123842.00,164192034073.00,1000000000.00,559805513732.00,5157919491128.00,5623300944948.00,1.34,2915538462.00,163061.54
749.00,2020/4/0/0,,PTB,66.50,80.00,485994410000.00,3231862826500.00,123319416986.00,1275049214743.00,1594132146364.00,167742696261.00,112603038334.00,763183154480.00,1499350833329.00,2368238469216.00,1.20,15635384615.00,239776.92
750.00,2020/4/0/0,,PVD,20.30,18.55,4215457890000.00,8557379516700.00,70881185190.00,787976812155.00,823966268658.00,1074681800500.00,1196704990825.00,1806098357535.00,958938457945.00,2803804144605.00,0.91,223634230769.00,11502769.23
751.00,2020/4/0/0,,PVT,16.05,16.20,3236512460000.00,5194602498300.00,309891105717.00,1875722926578.00,2207821996002.00,2287449714874.00,1044626284931.00,1069375124635.00,111944015917.00,2473038203153.00,1.01,134728384615.00,7909961.54
752.00,2020/4/0/0,,PXS,6.05,6.60,600000000000.00,363000000000.00,335162933.00,296130642572.00,312315185426.00,65624645398.00,0.00,225503335807.00,392250980994.00,981996057072.00,1.09,3347769231.00,500838.46
753.00,2020/4/0/0,,QBS,2.26,3.50,693299280000.00,156685637280.00,-18760308707.00,376554961455.00,371505303897.00,11224810482.00,10300000000.00,645473706394.00,16729075775.00,490955774365.00,1.55,617153846.00,240300.00
754.00,2020/4/0/0,,QCG,7.11,7.61,2751293100000.00,1956169394100.00,19800967691.00,201719710935.00,300087073592.00,40533348625.00,0.00,447822095690.00,7372814614328.00,5707599004175.00,1.07,4862384615.00,614453.85
755.00,2020/4/0/0,,PXI,3.10,3.65,300000000000.00,93000000000.00,-27571256729.00,-13865411898.00,-39548574737.00,46313777790.00,0.00,248489060862.00,139170169501.00,237375295547.00,1.18,200846154.00,55676.92
756.00,2020/4/0/0,,RAL,153.00,229.00,115000000000.00,1759500000000.00,128400340990.00,1358775879508.00,1862788058951.00,979359432981.00,0.00,2091545746573.00,656755318525.00,2946891937814.00,1.50,5501846154.00,33930.77
757.00,2020/4/0/0,,RDP,8.40,10.10,373367160000.00,313628414400.00,-5510492410.00,657188697752.00,710120245720.00,26100272785.00,0.00,591968516640.00,587944711947.00,1134585545413.00,1.20,126000000.00,15269.23
758.00,2020/4/0/0,,REE,54.00,52.10,3100588410000.00,16743177414000.00,664237281523.00,1208509788011.00,1665847659929.00,657638665185.00,1328559221660.00,3082086528134.00,807507044477.00,3435673617850.00,0.96,42801307692.00,818338.46
759.00,2020/4/0/0,,RIC,19.35,20.70,703687540000.00,1361635389900.00,-10312450400.00,36653387120.00,41712094340.00,32220856980.00,0.00,11743659720.00,14525131530.00,118234722060.00,1.07,419538462.00,36207.69
760.00,2020/4/0/0,,ROS,3.65,6.00,5675981210000.00,2071733141650.00,151047081153.00,231774449179.00,244929763715.00,34771071866.00,0.00,3859368688446.00,2725918138600.00,4155737149268.00,1.64,137169538462.00,32410946.15
761.00,2020/4/0/0,,SAB,174.00,162.70,6412811860000.00,111582926364000.00,1533756490471.00,5397087868646.00,7865362096244.00,2726137088387.00,14547419432877.00,590846416109.00,1446832994933.00,5173043219872.00,0.94,43676923077.00,241015.38
762.00,2020/4/0/0,,SAM,11.55,10.40,2565045400000.00,2962627437000.00,52649926852.00,526621661777.00,589989777977.00,276493013033.00,84572614837.00,1502999705197.00,478224358195.00,1844255325593.00,0.90,9793538462.00,770684.62
763.00,2020/4/0/0,,SAV,19.80,31.20,145998550000.00,289077129000.00,22230663645.00,191225413223.00,240403466217.00,53195603698.00,16124454794.00,129071313164.00,83059032007.00,243233950566.00,1.58,1019307692.00,51807.69
764.00,2020/4/0/0,,SBA,15.50,16.20,604882610000.00,937568045500.00,60701579508.00,78967410744.00,159940148023.00,12017851625.00,0.00,86848505035.00,2852848983.00,186799076308.00,1.05,1203692308.00,76607.69
