Time,FOMULA,COMPANY,PRICE,BAN,VOLUME,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS
2021/2/0/0,,AAA,,,2967599740000,92772805213,2910330501951,3264745856008,2214209755238,11156000000,1918577752695,1131960274006,3713259862429
2021/2/0/0,,AAM,,,123464110000,-3111751390,29831076463,29014500381,20758705252,11506984920,8492695685,117060079274,7755991010
2021/2/0/0,,AAT,,,348000000000,15947639700,162364470866,188524723433,26635786428,1000000000,184823887700,17504966880,106502438847
2021/2/0/0,,ABS,,,800000000000,6383428044,407080664528,427761984210,3413801294,425250000000,895321594981,5665725722,728052666691
2021/2/0/0,,ABT,,,141072070000,1104128039,66830085131,77678626775,44859176640,217151855,40227312467,168717606938,126538118274
2021/2/0/0,,ACC,,,300000000000,11975050157,117049392761,141502844702,25473951829,,230104453924,550200323572,450259058926
2021/2/0/0,,ACL,,,501590190000,11209861473,300362732211,339030666581,57556136824,,137254311307,908153623684,772097292330
2021/2/0/0,,ADG,,,180003330000,12434800983,115421337373,135478259616,14252952806,127540772918,156163476240,8285512499,146905083557
2021/2/0/0,,ADS,,,280694500000,31845959798,330881930164,383088516635,37398669583,320438733646,625621415544,484737224158,1259057996404
2021/2/0/0,,AGG,,,827505770000,189446373975,221349280134,260405376471,436136082498,256093813108,2047292150427,7031974929485,5301564563930
2021/2/0/0,,AGM,,,182000000000,11360250965,617843398367,664664154105,57469385420,48100000000,290324370232,464305554977,583484160084
2021/2/0/0,,AMD,,,1635048740000,4756914416,415518513487,425674123274,9344320696,37422021918,1724472332143,358316841167,717708304119
2021/2/0/0,,ANV,,,1275396250000,23741757224,936210796006,1074368010781,29241228671,519569073309,520215856099,1915412602493,2486155043154
2021/2/0/0,,APC,,,201213950000,-1046992898,22720632644,35630810829,78568576915,99011942750,37060870224,19787223,27137571173
2021/2/0/0,,APH,,,1951074420000,67458474301,3294686609808,3736320472930,2407746648608,11156000000,2393312695059,1409326022960,4544896908669
2021/2/0/0,,ASG,,,630449640000,-678574467,123101400740,158896189102,245004174380,201939885066,307721234541,10592015432,355101628949
2021/2/0/0,,ASM,,,2588678490000,101945655878,3132516486988,3474967475343,968793255378,1197160418872,3969720954618,2852455294672,6698323483182
2021/2/0/0,,ASP,,,373399290000,9273205621,552744147861,571343079257,14345352462,150578357615,693084966416,2911173265,886808984902
2021/2/0/0,,AST,,,450000000000,-35081734745,39014942747,50462337284,14835773680,198366000000,59800967018,36306817889,92221966065
2021/2/0/0,,BBC,,,154207820000,103513834,135275796259,180780441871,301891467786,67754187710,281624196425,66699974907,289318603904
2021/2/0/0,,BCE,,,350000000000,13361783247,24712257775,38494314740,112440471995,,535691351393,119648044775,523785758529
2021/2/0/0,,BCM,,,10350000000000,505709202295,910325423417,1637220920419,3352821882255,96204876712,3304051079761,22388060890211,20920525406488
2021/2/0/0,,BFC,,,571679930000,80978019514,2069848871679,2335353674595,150365708731,,1068552601992,986535922727,1770636563850
2021/2/0/0,,BHN,,,2318000000000,181846736994,1424414261514,1935945380994,687230878232,2170067731507,462049966782,627926466113,1733743136229
2021/2/0/0,,BKG,,,320000000000,4576853797,70213339060,79005596174,36462701151,,165385814036,118800601400,54986685992
2021/2/0/0,,BMC,,,123926300000,5959482735,37534816671,50101884090,77076048193,,1279912300,83728906003,22015600457
2021/2/0/0,,BMP,,,818609380000,41833119838,1265603637253,1452317364216,81138287098,810000000000,337851971262,617467227886,437012043198
2021/2/0/0,,BRC,,,123749970000,7019605080,69376233250,92029225707,23794294900,3000000000,91449258752,65191626038,95931610215
2021/2/0/0,,BTP,,,604856000000,4971039567,396056884594,389713083140,175171362182,372650000000,317812850043,105539758672,327226809585
2021/2/0/0,,BTT,,,135000000000,3594907878,19762384331,34703732807,13506732586,40050000000,10511522016,21952237139,23604064508
2021/2/0/0,,BWE,,,1929200000000,169573548437,456332813246,774480218845,382982878024,552572000000,788739730548,824762760626,1770333808595
2021/2/0/0,,C32,,,150301450000,16720454251,115915834402,134534769149,37442272772,49450839974,257277392329,87999228383,300801404686
2021/2/0/0,,C47,,,187221430000,11897905273,241809203488,268593867058,39240627861,,217523970073,633371182038,881653938827
2021/2/0/0,,CAV,,,576000000000,109567598896,2756498131263,3067421612256,57526719423,,1285224024600,3215484224196,4086569857517
2021/2/0/0,,CCI,,,177438650000,9891983679,77148551552,90136034505,18180771980,249198000000,21169750671,23875955689,27360686889
2021/2/0/0,,CCL,,,474998850000,25771250678,232087211720,302160868281,21525630880,,779313386572,288251266124,508864977219
2021/2/0/0,,CDC,,,219794684000,3376805510,146814038447,153788237292,14883321937,375943249734,338472999663,246151811683,712501637219
2021/2/0/0,,CEE,,,415000000000,-2099954115,132284367887,139878531618,12943717367,,1384370691033,575301879104,1421543729115
2021/2/0/0,,CHP,,,1469126680000,26574803609,85805562359,147788583749,159631204836,,142354359892,8372083677,293083179210
2021/2/0/0,,CIG,,,315399470000,-247776281,657155802,492263898,2621753924,,384869095877,111638864220,441332949448
2021/2/0/0,,CII,,,2832095780000,56821102502,686492483847,1068855691978,396301388526,653980206875,5139490461487,5400198627295,9214030848716
2021/2/0/0,,CKG,,,824997810000,40298516119,96938690307,167686308090,83529539091,500000000,1257289698573,2898545004947,1833569845926
2021/2/0/0,,CLC,,,262075830000,35729107496,468970438995,541803009656,44796914193,,226272223081,643993657749,258094508516
2021/2/0/0,,CLL,,,340000000000,19081433872,39656612607,66356513679,205570203631,46206575342,82009052944,1055347125,32235721872
2021/2/0/0,,CLW,,,130000000000,6745217650,281524987844,309561258949,8366392593,119219801851,68357483957,14813768720,208798967403
2021/2/0/0,,CMV,,,181558680000,7620873660,930029107005,974738386996,31934887514,18500000000,94336742613,266665076421,275658433605
2021/2/0/0,,CMX,,,304087510000,21595013033,653027973221,718061410378,2321692984,8232635616,487046293338,517780928862,961036802522
2021/2/0/0,,CNG,,,270000000000,20692453367,773823938423,828574692194,188175371185,64288000000,455426562568,61945058592,598269108111
2021/2/0/0,,COM,,,141206280000,11967734492,728429085037,780927543924,97434018114,14525857483,26065862852,87968091311,73096933498
