Time,FOMULA,COMPANY,PRICE,BAN,VOLUME,MARKET CAP,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS,PROFIT,VolumeARG,ValueARG
2020/2/0/0,-0.292167293,VPD,14.25,14.7,1.07E+12,1.52475E+13,278079156,66069322885,94610478309,71313636712,,59840003478,1017836697,4.22E+11,1.031578947,9865.384615,142461538.5
2020/2/0/0,-23.50943563,VPG,12.9,14.672,3.5E+11,4.515E+12,7397740410,2.89E+11,3.21E+11,2.05E+11,57787750000,7.41E+11,6.96E+11,1.4E+12,1.015503876,117708.4615,1470846154
2020/2/0/0,-599.4189958,VPH,4.4,3.99,9.54E+11,4.1976E+12,30750717668,97470478664,1.54E+11,39968185872,5131753500,8.92E+11,8.7E+11,1.1E+12,0.906818182,41976.15385,172769230.8
2020/2/0/0,-18.19316254,VPI,42.25,41.625,1.6E+12,6.76E+13,26195679659,3.09E+11,4.69E+11,6.24E+11,6000000000,3.65E+12,1.95E+12,3.62E+12,0.78816568,616430.7692,25697000000
2020/2/0/0,-8.1835245,VPS,14.55,12.2,2.45E+11,3.56475E+12,3553621476,90448077462,1.28E+11,63104440622,30000000000,1.09E+11,1.57E+11,1.82E+11,0.838487973,4976.153846,58076923.08
2020/2/0/0,-3641.019917,VRC,5.93,6.17,5E+11,2.965E+12,67514457,44100000,1500000000,10210876331,,46573263727,1.14E+12,3.33E+11,1.040472175,131986.1538,740153846.2
2020/2/0/0,-0.417456518,VRE,26.35,25.5,2.33E+13,6.13955E+14,3.43E+11,9.84E+11,1.63E+12,4.11E+12,64716000000,1.54E+12,1.01E+12,5.87E+12,0.967741935,2813593.846,75373384615
2020/2/0/0,-1.24560764,VSC,32.5,42.7,5.51E+11,1.79075E+13,69448566810,2.98E+11,3.93E+11,3.77E+11,69400000000,2.16E+11,25351392869,2.59E+11,1.276923077,309341.5385,9374769231
2020/2/0/0,-13.5333534,VSH,16.7,19,1000000000,16700000000,-2120357645,49904283515,54834674530,92493619361,35000000000,1.49E+11,1.09E+11,1.06E+12,1.137724551,23835.38462,407615384.6
2020/2/0/0,-5.452310811,VSI,20.9,17.7,1.32E+11,2.7588E+12,4108715742,63617335717,78022595546,28535719644,12222000000,1.97E+11,17189340476,2.21E+11,0.846889952,6018.461538,128384615.4
2020/2/0/0,-56.86200184,VTB,9.55,10.4,1.2E+11,1.146E+12,2638777658,42938889130,66940505817,12862239596,4287396250,39376159579,1.32E+11,67091221145,1.089005236,2096.923077,20538461.54
2020/2/0/0,-1.038035736,VTO,6.62,6.99,7.99E+11,5.28938E+12,10381258798,2.29E+11,2.63E+11,2.82E+11,,75830569672,1E+11,3.9E+11,1.055891239,39786.92308,259461538.5
2020/2/0/0,-122.9115075,YBM,3.84,4.7,1.43E+11,5.4912E+11,3562438301,69002734262,1.03E+11,9957372071,,88947196590,66591837247,1.77E+11,1.223958333,6322.307692,25000000
2020/2/0/0,-5.626919602,YEG,47.6,44.8,3.13E+11,1.48988E+13,651434593,1.74E+11,1.78E+11,64120831275,1.3E+11,4.32E+11,66186467656,1.98E+11,0.941176471,25104.61538,1271769231
2020/1/0/0,-43.79572894,AAA,11.95,11.2,1.71E+12,2.04345E+13,62658415975,1.39E+12,1.57E+12,2.88E+11,8.4E+11,2.16E+12,1.12E+12,3.06E+12,0.937238494,2991495,36522700000
2020/1/0/0,-17.11091614,AAM,11.5,10.65,1.23E+11,1.4145E+12,665805415,36136952828,41176954729,13239992486,32534619541,17335429299,1.11E+11,11260600881,0.926086957,2672,31100000
2020/1/0/0,-10305.99345,ABS,15.9,11.1,2.88E+11,4.5792E+12,1623548110,1.05E+11,1.13E+11,585869735,,2.95E+11,16378414783,2.14E+11,0.698113208,158059,2681200000
2020/1/0/0,-129.938809,ABT,32.1,34.5,1.41E+11,4.5261E+12,711124279,67382882149,75347062692,10171796006,8717151855,39739421253,1.5E+11,85606060012,1.074766355,189,6300000
2020/1/0/0,-5.041799426,ACC,18.8,15.65,1E+11,1.88E+12,7936586886,69438526563,91191676782,72428076596,,2.65E+11,97374056641,2.53E+11,0.832446809,32053,670000000
2020/1/0/0,-153.8208149,ACL,17.55,28.65,2.28E+11,4.0014E+12,1053229582,2.05E+11,2.34E+11,58709362408,,1.9E+11,7.21E+11,7.3E+11,1.632478632,18978,354700000
2020/1/0/0,-1955.915738,ADS,9.94,9.25,2.55E+11,2.5347E+12,-2108491852,2.85E+11,2.95E+11,16243840964,3.31E+11,6.32E+11,4.12E+11,1.25E+12,0.930583501,2853,28900000
2020/1/0/0,-120.0483832,AGG,27.1,26.5,7.5E+11,2.0325E+13,694985111,19948522048,42853729200,2.71E+11,1.4E+11,1.09E+12,2.79E+12,3.16E+12,0.977859779,209773,5688400000
2020/1/0/0,-7315.875294,AGM,12.1,12.35,1.82E+11,2.2022E+12,3086326566,4.34E+11,4.72E+11,6327557641,1.41E+11,1.23E+11,5.37E+11,5.41E+11,0.904958678,53615,655900000
2020/1/0/0,-557.8423848,AMD,3.25,2.4,1.64E+12,5.33E+12,2787403796,1.96E+11,2.16E+11,19602275074,30450000000,1.71E+12,2.7E+11,7.9E+11,0.738461538,6404121,20178700000
2020/1/0/0,-34897.58244,ANV,16.35,15.25,1.28E+12,2.0928E+13,43359514116,6.9E+11,8.11E+11,9449746880,3.94E+11,4.42E+11,1.81E+12,1.72E+12,0.932721713,264465,4386300000
2020/1/0/0,-0.184527822,APC,17.9,18.2,2.01E+11,3.5979E+12,13349144084,10173806899,32728015467,40939737614,1.08E+11,59903896225,133207397,44945456409,1.016759777,39518,642800000
2020/1/0/0,-139.6839512,ASM,5,5.43,2.59E+12,1.295E+13,1.51E+11,2.86E+12,3.19E+12,3.81E+11,5.07E+11,3.68E+12,3.19E+12,6.18E+12,1.086,1445126,6826600000
2020/1/0/0,-2.110228943,ASP,5.15,5,3.73E+11,1.92095E+12,-7883135154,5.99E+11,7.2E+11,3.45E+11,33594334958,3.69E+11,1.05E+11,1.08E+12,0.970873786,54324,281200000
2020/1/0/0,-2.904925894,AST,51,44.4,4.5E+11,2.295E+13,16080695886,1.04E+11,1.96E+11,1.05E+11,1.97E+11,44206212512,87169871254,87820627462,0.850980392,89992,4830200000
2020/1/0/0,-1.588485688,BBC,43.4,43.8,1.54E+11,6.6836E+12,1098664283,1.54E+11,2.06E+11,1.9E+11,1.08E+11,1.35E+11,1.27E+11,2.85E+11,1.00921659,2405,105600000
2020/1/0/0,-13.42043131,BCE,7.54,7.75,3E+11,2.262E+12,916592429,30404941881,35218035488,70454116072,,5.46E+11,1.34E+11,4.96E+11,1.027851459,212799,1567200000
2020/1/0/0,-36.04049301,BCG,5.03,6.8,1.08E+12,5.4324E+12,8337606082,3.09E+11,3.85E+11,3.75E+11,36021748890,2.77E+12,1.02E+12,4.96E+12,1.192842942,233024,1170800000
2020/1/0/0,-5047.382342,BCM,22.8,26.3,1.04E+13,2.3712E+14,3.32E+11,6.65E+11,1.23E+12,3.2E+11,3.35E+11,4.08E+12,2.36E+13,2.19E+13,1.153508772,70731.3,1593601170
2020/1/0/0,-82.33347902,BFC,12,11.85,5.72E+11,6.864E+12,4552855951,7.8E+11,8.88E+11,1.93E+11,,7.3E+11,1.5E+12,2E+12,0.9875,436883,5427300000
2020/1/0/0,-6.897540772,BHN,54.5,48,2.32E+12,1.2644E+14,-98331777213,6.25E+11,7.74E+11,4.27E+11,1.39E+12,4.49E+11,7.51E+11,1.49E+12,0.880733945,27234,1558100000
2020/1/0/0,-130.0704903,BMC,11,10.16,1.24E+11,1.364E+12,2742535040,29629801021,38044886119,4355219953,25000000000,5907740490,1.02E+11,22000123869,0.850909091,19385,213600000
2020/1/0/0,-7.653776779,BMP,44.35,51,8.19E+11,3.63227E+13,1.02E+11,7.74E+11,1.02E+12,3.48E+11,6.06E+11,3.65E+11,4.26E+11,3.54E+11,1.127395716,233893,10655100000
2020/1/0/0,-18.42214636,BRC,11,9.7,1.24E+11,1.364E+12,4486038195,50402643376,65988464147,16037515028,3000000000,60126619299,58455025795,67548432928,0.881818182,3,0
2020/1/0/0,-5.662176765,BTP,15.7,14.55,6.05E+11,9.4985E+12,28295187767,3.87E+11,4.16E+11,1.6E+11,6.25E+11,2.44E+11,1.78E+11,2.62E+11,0.926751592,82562,1308800000
2020/1/0/0,-19.60395479,BTT,39.45,37,1.35E+11,5.32575E+12,8473862906,34032122610,60502209609,11388660546,73397596800,14230123151,34018892078,63966671948,0.937896071,1382,51300000
2020/1/0/0,-114.0086251,BWE,20.65,25,1.5E+12,3.0975E+13,1.32E+11,4.52E+11,7.33E+11,91974355111,1.26E+11,8.95E+11,5.6E+11,1.69E+12,1.210653753,253528,5073400000
2020/1/0/0,-13.40354108,C32,25.4,22.2,1.5E+11,3.81E+12,19223014376,1.27E+11,1.63E+11,48869602441,1.06E+11,2.16E+11,81317217643,3.59E+11,0.874015748,96637,2270500000
2020/1/0/0,-552.9585831,C47,8.19,8.4,1.7E+11,1.3923E+12,747863342,1.83E+11,2.11E+11,39993288194,,3.56E+11,8.33E+11,1.06E+12,1.025641026,25389,205400000
2020/1/0/0,-1121.755291,CAV,65.2,69.4,5.76E+11,3.75552E+13,82095471197,1.86E+12,2.09E+12,61713554926,,1.84E+12,1.49E+12,2.81E+12,1.064417178,4537,295200000
2020/1/0/0,-8.895525863,CCI,13,13.65,1.77E+11,2.301E+12,8459061998,75560029744,85911798879,29593233357,2.44E+11,37405943879,1795727440,24801091586,1.05,6617,92400000
2020/1/0/0,-1181.263182,CCL,7.38,6.84,4.75E+11,3.5055E+12,19858359418,1.42E+11,1.81E+11,9088131016,,4.91E+11,2.48E+11,3.91E+11,0.926829268,359662,2200800000
2020/1/0/0,-150.6548431,CDC,14,22.1,1.57E+11,2.198E+12,9878440112,1.06E+11,1.17E+11,21828417247,3.67E+11,1.49E+11,1.89E+11,3.76E+11,1.578571429,503,7000000
2020/1/0/0,-15004.27146,CEE,14,13.6,4.15E+11,5.81E+12,-2791804786,98646195435,1.02E+11,7975384840,,1.2E+12,6.32E+11,1.51E+12,0.971428571,995,15100000
2020/1/0/0,-2.402748194,CHP,19.7,19.1,1.39E+12,2.7383E+13,-5131823155,76476065968,1.1E+11,42516774221,1.3E+11,78249186112,8868535053,3.85E+11,0.918781726,10597,200900000
2020/1/0/0,-20202.50285,CIG,1.8,1.89,3.15E+11,5.67E+11,381025036,697120265,822431850,3007156237,,3.97E+11,3.83E+11,4.77E+11,1.05,1019,1800000
2020/1/0/0,-17.60592023,CII,19.4,17.5,2.83E+12,5.4902E+13,2.75E+11,2.88E+11,4.72E+11,1.93E+12,7.44E+11,3.76E+12,6.07E+12,1.08E+13,0.902061856,1069448,20987200000
2020/1/0/0,-5985.007299,CKG,7.9,11.395,5E+11,3.95E+12,9574845179,99272643359,1.32E+11,32071836299,2229632432,1.5E+12,2.85E+12,2.16E+12,1.253164557,15526,125600000
2020/1/0/0,-167.0041861,CLC,26.8,27.5,2.62E+11,7.0216E+12,25248482422,3.64E+11,4.25E+11,41194609770,,3.05E+11,6.64E+11,4.03E+11,0.951492537,5317,140200000
2020/1/0/0,-16.79054526,CLW,28,25.4,1.3E+11,3.64E+12,7255721605,2.65E+11,2.98E+11,31620127049,81200140684,43991465157,15853517371,1.79E+11,0.869642857,118,3200000
2020/1/0/0,-9.978647646,CMG,28.25,29,1E+12,2.825E+13,44412658215,9.7E+11,1.21E+12,2.13E+11,1.13E+12,1.27E+12,1.82E+11,1.66E+12,1.026548673,36408,1030600000
2020/1/0/0,-171.1036425,CMV,12.1,12.05,1.21E+11,1.4641E+12,366150158,1.07E+12,1.11E+12,37207788763,10000000000,98660357728,3.16E+11,4E+11,0.995867769,1010,14600000
2020/1/0/0,-2762.711054,CMX,12.4,15,2.64E+11,3.2736E+12,15328952471,2.42E+11,2.85E+11,15607337949,,4.77E+11,6.28E+11,1.07E+12,1.209677419,172469,2146400000
2020/1/0/0,-2.038295598,CNG,20.8,19.2,2.7E+11,5.616E+12,13533263302,4.99E+11,5.37E+11,3.71E+11,,3.43E+11,24397124884,3.66E+11,0.923076923,22568,472100000
2020/1/0/0,-118.2554014,COM,44,49.95,1.41E+11,6.204E+12,6290750414,8.11E+11,8.59E+11,1.24E+11,12877379600,52033888609,17996201134,47530862830,1.135227273,114,4900000
2020/1/0/0,-224.6190085,CRC,11.35,12.2,1.5E+11,1.7025E+12,625780990,1.05E+11,1.09E+11,10656355361,6000000000,1.65E+11,1.16E+11,2.15E+11,1.074889868,41262,466600000
2020/1/0/0,-7.404041576,CRE,15.2,18.6,8E+11,1.216E+13,42268922913,1.62E+11,2.7E+11,1.29E+11,,1.16E+12,1.56E+11,7.41E+11,1.223684211,336974,5167400000
2020/1/0/0,-117.7326435,CSM,17.15,15.3,1.04E+12,1.7836E+13,12700509774,7.98E+11,9.44E+11,1.48E+11,,8.09E+11,1.17E+12,2.16E+12,0.862973761,289616,4641900000
2020/1/0/0,-4.336482529,CSV,20.8,21.7,4.42E+11,9.1936E+12,47606898300,2.34E+11,3.29E+11,1.65E+11,1.1E+11,1.84E+11,2.56E+11,1.71E+11,0.995192308,334800,6919400000
2020/1/0/0,-50.79406375,CTD,65.2,70.1,7.93E+11,5.17036E+13,1.23E+11,3.36E+12,3.55E+12,4.48E+11,3.31E+12,7.91E+12,1.49E+12,6.27E+12,1.075153374,328648,19770300000
2020/1/0/0,-1373.510634,CTF,21.85,21.5,4.55E+11,9.94175E+12,456270119,1.03E+12,1.1E+12,17623360693,,5.88E+11,4.41E+11,9.18E+11,0.983981693,150357,3291500000
2020/1/0/0,-16.10852746,CTI,19.7,13.05,6.3E+11,1.2411E+13,18342211880,78048597365,1.53E+11,1.03E+11,,3.15E+11,2.29E+11,7.39E+11,0.601522843,177542,3417100000
2020/1/0/0,-536.3368775,CVT,16.6,18.8,3.67E+11,6.0922E+12,1243529723,1.52E+11,1.62E+11,21361315282,,44338907241,5.25E+11,4.64E+11,1.13253012,260944,4355600000
2020/1/0/0,-56.38525869,D2D,57,55.9,2.14E+11,1.2198E+13,48708355300,23307939585,80838067126,44655300433,1.32E+12,93798145356,1.97E+11,5.7E+11,0.954385965,254519,13895900000
2020/1/0/0,-6505.826427,DAG,5.67,5.7,5.18E+11,2.93706E+12,1181725784,1.72E+11,1.96E+11,7540647235,,5.01E+11,4.8E+11,7.7E+11,1.005291005,268772,1446100000
2020/1/0/0,-12.60072789,DAH,9.17,5.45,3.42E+11,3.13614E+12,64232380,8362661857,4474913328,1484268596,,30139084533,348874637,77516447742,0.594329335,384664,3626600000
2020/1/0/0,-3.742282888,DAT,7.89,57.5,4.6E+11,3.6294E+12,4037259949,3.96E+11,4.08E+11,1.73E+11,1.63E+11,6.55E+11,96791032743,7.93E+11,7.287705957,3,0
2020/1/0/0,-652.0496476,DBC,27.6,47.7,9.11E+11,2.51436E+13,3.49E+11,1.77E+12,2.39E+12,1.53E+11,4.93E+11,5.21E+11,3.36E+12,4.5E+12,1.72826087,3963127,1.05306E+11
2020/1/0/0,-85.85458727,DBD,51,47.2,5.24E+11,2.6724E+13,41052815056,2.32E+11,3.8E+11,42245740058,1.07E+11,5.17E+11,2.91E+11,5.01E+11,0.925490196,86462,4458500000
2020/1/0/0,-107.7636498,DBT,10.7,11.1,1.35E+11,1.4445E+12,5972541722,1.5E+11,2.03E+11,34743330580,49837960204,1.62E+11,2.82E+11,4.53E+11,1.037383178,1840,19399000
2020/1/0/0,-249.3149585,DC4,12.5,13.5,3E+11,3.75E+12,9580738151,39078632774,58156889306,18629486117,10000488109,1.25E+11,3.4E+11,2.54E+11,1.08,20,242000
2020/1/0/0,-133.3071557,DCL,20.2,19.1,5.68E+11,1.14736E+13,7745477270,1.37E+11,1.85E+11,19482381709,9.12E+11,2.22E+11,1.88E+11,2.59E+11,0.945544554,117323,2565000000
2020/1/0/0,-35.95799433,DCM,8.1,8.12,5.29E+12,4.2849E+13,92491792211,1.15E+12,1.35E+12,3.9E+11,2E+12,4.83E+11,1.65E+12,3.2E+12,1.002469136,2477165,19415000000
2020/1/0/0,-417.4181797,DGC,29.2,37,1.29E+12,3.7668E+13,2E+11,1.21E+12,1.52E+12,44110375880,9.61E+11,9.01E+11,5.85E+11,1.28E+12,1.267123288,284277.8,7539440460
2020/1/0/0,-151.9943542,DGW,26.9,41.45,4.2E+11,1.1298E+13,44783891942,2.17E+12,2.31E+12,91485431540,,7.86E+11,8.36E+11,9.35E+11,1.503717472,527890,12751500000
2020/1/0/0,-2.14462153,DHA,34.6,33.35,1.51E+11,5.2246E+12,16425692922,46849347991,71480448027,62643053129,92754994507,80641375608,139950000,24937181945,0.906069364,20410,655800000
2020/1/0/0,-22.15435901,DHC,37.3,41.6,5.6E+11,2.0888E+13,89175080077,5.09E+11,6.71E+11,97723944420,8000000000,4.57E+11,2.63E+11,5.89E+11,1.115281501,383740,14288500000
2020/1/0/0,-25.39929924,DHG,95.1,95.7,1.31E+12,1.24581E+14,1.77E+11,4.35E+11,8.58E+11,1.46E+11,1.88E+12,3.86E+11,7.48E+11,6.03E+11,0.96424816,29785,2740700000
2020/1/0/0,-2996.930698,DHM,6.2,7.44,3.14E+11,1.9468E+12,338259845,1.17E+11,1.25E+11,2964946034,,1.26E+11,1.3E+11,2.01E+11,1.2,233376,1233400000
2020/1/0/0,-958.7720943,DIG,11.35,12.35,3.15E+12,3.57525E+13,6004044397,2E+11,2.62E+11,1.19E+11,2.25E+11,1.97E+12,4.51E+12,3.01E+12,1.088105727,1283391,14549300000
2020/1/0/0,-70.46116755,DLG,1.46,1.32,2.99E+12,4.3654E+12,-47426025313,2.58E+11,3.26E+11,1.34E+11,2.64E+11,3.06E+12,4.41E+11,2.86E+12,0.904109589,5441599,8229400000
2020/1/0/0,-21.57933832,DMC,50.3,48.4,3.47E+11,1.74541E+13,42632434213,1.95E+11,2.9E+11,58602461536,2.4E+11,7E+11,2.73E+11,2.15E+11,0.96222664,153884,7789200000
