Time,COMPANY,VOLUME,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS
2021/3/0/0,BCG,2975371740000.0,217917651949,236220072140.0,457439869146.0,689108067503,1738734488090.0,7539354246195,2126607329641.0,6661688297798
2021/3/0/0,BCM,10350000000000.0,50339466120,343293972016.0,761226085806.0,2813978952369,121704876712.0,3428919730548,23151023088108.0,19482751276117
2021/3/0/0,BFC,571679930000.0,34988093142,1616381734949.0,1791371479186.0,367051137305,5000000000.0,772129359340,1592313385240.0,2229350536314
2021/3/0/0,BHN,2318000000000.0,137000745529,1255147763518.0,1695639828046.0,693655413381,2216319731507.0,524318321032,629302870347.0,1590397100266
2021/3/0/0,BKG,320000000000.0,4198088534,102528095381.0,111113719496.0,14545167652,,231007069856,100144982650.0,71995940103
2021/3/0/0,BMC,123926300000.0,3064049626,17601252632.0,26817559683.0,75723659211,,1929510800,93082352120.0,28828340214
2021/3/0/0,BMP,818609380000.0,-25957513559,503538834839.0,527066290066.0,200440775531,615000000000.0,289550920466,610545573924.0,252083862244
2021/3/0/0,BRC,123749970000.0,5000171135,65082971792.0,82709271724.0,20522733742,4871196250.0,105780276422,74569677904.0,112072777858
2021/3/0/0,BTP,,18234564825,110708039169.0,102966734360.0,215092650583,322650000000.0,106523837272,105120849057.0,231797739531
2021/3/0/0,BTT,135000000000.0,-1360288244,11000601094.0,15145110904.0,20763356340,35050000000.0,13335535513,22485687310.0,22983256180
2021/3/0/0,BWE,1929200000000.0,158587201797,345791211686.0,651685994500.0,325462880792,598572000000.0,870628004406,802544490543.0,1713549762775
2021/3/0/0,C32,150301450000.0,24718605752,78257000407.0,86311358555.0,49515703810,62340274312.0,237678000508,87954044844.0,275873091216
2021/3/0/0,C47,187221430000.0,5917676915,93701114025.0,127175295460.0,65829829830,,202760247195,653628600773.0,853429243576
2021/3/0/0,CAV,576000000000.0,37744603896,1653840127609.0,1804685613828.0,47621278704,,989375210070,4334823121758.0,4975358937208
2021/3/0/0,CCI,177438650000.0,7755663689,30901427856.0,40327069670.0,13467371763,269539000000.0,23009505038,18892918918.0,25213932893
2021/3/0/0,CCL,474998850000.0,7411961059,160142382787.0,182271066558.0,23459834219,,786231131811,286198072074.0,507474628211
2021/3/0/0,CDC,219887160000.0,2455209742,201964924071.0,208991814298.0,7627711737,375967228971.0,392488154084,194663693894.0,824345728805
2021/3/0/0,CEE,415000000000.0,-5823983373,59158844312.0,63508204225.0,3568536183,,1416048739411,584730674525.0,1472349106097
2021/3/0/0,CHP,1469126680000.0,51637936429,90737742769.0,175899933290.0,13557661371,,170587600697,8628398794.0,357177788108
