,Symbol,Volume
0,AAA,"51899988"
1,AAM,"8100000"
2,AAT,"34800000"
3,ABS,"28800000"
4,ABT,"14107207"
5,ACC,"10000000"
6,ACL,"9000000"
7,ADG,"18000333"
8,ADS,"16070000"
9,AGG,"75000000"
10,AGM,"18200000"
11,AGR,"120000000"
12,AMD,"30000000"
13,ANV,"66000000"
14,APC,"8640000"
15,APG,"13528900"
16,APH,"132562459"
17,ASG,"75653891"
18,ASM,"9912600"
19,ASP,"12600000"
20,AST,"36000000"
21,ATG,"15220000"
22,BBC,"15420782"
23,BCE,"20000000"
24,BCG,"40700000"
25,BCM,"1035000000"
26,BFC,"47640000"
27,BHN,"231800000"
28,BIC,"66000000"
29,BKG,
30,BMC,"1311400"
31,BMI,"75500000"
32,BMP,"10718000"
33,BRC,"8249998"
34,BSI,"122070078"
35,BTP,"60485600"
36,BTT,"8800000"
37,BVH,"573026605"
38,BWE,"150000000"
39,C32,"11200000"
40,C47,"8000000"
41,CAV,"57600000"
42,CCI,"9000000"
43,CCL,"25000000"
44,CDC,"12465715"
45,CEE,"41500000"
46,CHP,"125999511"
47,CIG,"12000000"
48,CII,"30000000"
49,CKG,"50000000"
50,CLC,"8400000"
51,CLG,"21150000"
52,CLL,"24000000"
53,CLW,"13000000"
54,CMG,"63536267"
55,CMV,"8049986"
56,CMX,"11496797"
57,CNG,"20312038"
58,COM,"3400000"
59,CRC,"15000000"
60,CRE,"50000000"
61,CSM,"25000000"
62,CSV,"44200000"
63,CTD,"18450000"
64,CTF,"18000000"
65,CTI,"15000000"
66,CTS,"90423757"
67,CVT,"28223903"
68,D2D,"10700000"
69,DAG,"10000000"
70,DAH,"34200000"
71,DAT,"38100000"
72,DBC,"91099828"
73,DBD,"52379000"
74,DBT,"13528814"
75,DC4,"30000000"
76,DCL,"8100000"
77,DCM,"529400000"
78,DGC,"129363616"
79,DGW,"23583669"
80,DHA,"3849962"
81,DHC,"8000000"
82,DHG,"8000000"
83,DHM,"16000000"
84,DIG,"60000000"
85,DLG,"29100000"
86,DMC,"10700000"
87,DPG,"29999962"
88,DPM,"380000000"
89,DPR,"40000000"
90,DQC,"15434000"
91,DRC,"9247500"
92,DRH,"14990000"
93,DRL,"9500000"
94,DSN,"8450000"
95,DTA,"10000000"
96,DTL,"38800000"
97,DTT,"2000000"
98,DVP,"20000000"
99,DXG,"8000000"
100,DXV,"9900000"
101,ELC,"22125000"
102,EMC,"8073000"
103,EVE,"15327996"
104,EVG,"30000000"
105,FCM,"26800000"
106,FCN,"13805162"
107,FDC,"14297699"
108,FIR,"13000000"
109,FIT,"179212477"
110,FLC,"77180000"
111,FMC,"6000000"
112,FPT,"60810230"
113,FRT,"40000000"
114,FTM,"50000000"
115,FTS,"90343727"
116,GAB,"13800000"
117,GAS,"1895000000"
118,GDT,"10372365"
119,GEG,"203891677"
120,GEX,"266800000"
121,GIL,"2550000"
122,GMC,"2275000"
123,GMD,"12658843"
124,GSP,"30000000"
125,GTA,"8407750"
126,GTN,"68000000"
127,GVR,"4000000000"
128,HAG,"179814501"
129,HAH,"23196232"
130,HAI,"14499998"
131,HAP,"55626621"
132,HAR,"35000000"
133,HAS,"1200000"
134,HAX,"1625730"
135,HBC,"5639990"
136,HCD,"13500000"
137,HCM,"39463400"
138,HDC,"8128000"
139,HDG,"13500000"
140,HHP,"18000000"
141,HHS,"10000000"
142,HID,"30000000"
143,HII,"13600000"
144,HMC,"15800000"
145,HNG,"708143895"
146,HOT,"8000000"
147,HPG,"132000000"
148,HPX,"150000000"
149,HQC,"40000000"
150,HRC,"9600000"
151,HSG,"57038500"
152,HSL,"12600000"
153,HT1,"87000000"
154,HTI,"24949200"
155,HTL,"8000000"
156,HTN,"25000000"
157,HTV,"4800000"
