,Time,FOMULA,COMPANY,PRICE,BAN,VOLUME,MARKET CAP,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS
1023,2020/3/0/0,0.02960532772917905,VNS,11.0,10.4,678591920000,7498440716000.0,-57144437069.0,243022137805.0,221993794855,152925441254,0,146709987630.0,13631691349.0,264384669978
1024,2020/3/0/0,0.1396334693966667,VOS,1.4,3.54,1400000000000,2100000000000.0,-21467128444.0,301285502814.0,293230285733,79469371433,198848000000,540558731093.0,76561913164.0,1298720817032
1025,2020/3/0/0,0.009776008566274304,VPD,14.8,14.4,1065896290000,15988444350000.0,47169848710.0,70844952392.0,156303168927,109031160637,0,73580288345.0,1276364796.0,319100569814
1026,2020/3/0/0,0.1207822350673107,VPG,13.65,18.7,391998140000,4939176564000.0,19923829555.0,538004769439.0,596564784792,116490739753,53837750000,958093542579.0,601148403172.0,1482671708418
1027,2020/3/0/0,0.005739030668948171,VPI,33.25,33.75,1600000000000,65600000000000.0,68151313134.0,196958282310.0,376480411883,441136539992,4000000000,3647334201429.0,2533198912829.0,4196373553344
1028,2020/3/0/0,0.04130194993542669,VPS,12.2,15.15,244607920000,3204363752000.0,2976309351.0,96397969600.0,132346471260,72462766930,0,109296548368.0,149145047683.0,144981226838
1029,2020/3/0/0,0.000347191011235955,VRC,6.2,8.74,500000000000,3560000000000.0,128938892.0,44200000.0,1236000000,9842176171,0,31623519358.0,1149930685387.0,326442836666
1030,2020/3/0/0,0.002728876481623836,VRE,25.6,30.0,23288184000000,645082696800000.0,572391000000.0,915567000000.0,1760351000000,2225517000000,1893283000000,1671928000000.0,1202985000000.0,4781388000000
1031,2020/3/0/0,0.0208911855363487,VSC,44.65,60.5,551227980000,20533242255000.0,78278215475.0,319184396028.0,428963773612,407650658908,69400000000,246849946656.0,25719938117.0,291985294398
1032,2020/3/0/0,0.002087798063241317,VSH,20.2,17.5,2062412460000,45579315366000.0,29581179540.0,53063515307.0,95160406345,5304739404,35000000000,186179846856.0,98137043229.0,1099513410028
1033,2020/3/0/0,0.01799402456625074,VSI,17.3,17.6,132000000000,2356200000000.0,4365126294.0,25894789864.0,42397520683,50585014394,12222000000,170549817561.0,21166981425.0,211597143671
1034,2020/3/0/0,0.113371225593414,VTB,10.35,12.65,119820500000,1177835515000.0,10065807923.0,95102473280.0,133532655883,12806778520,9287396250,69838214196.0,134677964094.0,107359498295
1035,2020/3/0/0,0.04402978172710751,VTO,6.92,8.28,798666660000,5550733287000.0,15567101592.0,202130438808.0,244397575052,282609388850,0,45873496253.0,90893561838.0,331546201240
1036,2020/3/0/0,0.2018962879603934,YBM,5.17,5.99,142998800000,614894840000.0,6442197476.0,87197375139.0,124144985682,9691387231,0,123811339733.0,51667459983.0,196092256818
1037,2020/3/0/0,0.02849826685277649,YEG,44.8,40.65,312799680000,15170784480000.0,13273581214.0,359707661893.0,432341064477,52939151050,3550000000,663904145747.0,66586264757.0,260540116864
1038,2020/2/0/0,0.08563491984060607,AAA,11.5,11.0,1711999760000,21143197036000.0,74202580588.0,1627230324269.0,1810595983352,267894557509,727670657534,2316599745175.0,897444507113.0,3149512205775
1039,2020/2/0/0,0.01791390619000204,AAM,10.5,10.8,123464110000,1327239182500.0,-595020743.0,22572548501.0,23776038207,13267773103,36597459920,7934862189.0,116959047295.0,11717845368
1040,2020/2/0/0,0.04258810426484674,ABS,11.75,10.6,288000000000,3340800000000.0,6049849978.0,129157729036.0,142278338728,2644365903,0,331233742249.0,14642226079.0,257381837610
1041,2020/2/0/0,0.06481558139666667,ACC,16.25,18.7,100000000000,1800000000000.0,16104325113.0,84047672955.0,116668046514,27010596061,0,301742697878.0,143422497924.0,300243379214
1042,2020/2/0/0,0.04815341847476494,ACL,15.1,12.3,227996750000,5015928500000.0,4084141763.0,205637499896.0,241534104100,19937443907,0,223232618695.0,834111514171.0,813146083864
1043,2020/2/0/0,0.1106635868010058,ADS,9.01,9.36,255178010000,2485433817400.0,-7632741559.0,266792794738.0,275047020990,6201579646,288032533656,598837748494.0,450126125700.0,1194374834345
1044,2020/2/0/0,0.0008429695082295482,AGG,26.8,28.25,750000000000,20475000000000.0,192006202330.0,18848726316.0,17259800681,352196883485,95488410294,1099564959225.0,5049892053614.0,4709526447054
1045,2020/2/0/0,0.2104405748660969,AGM,11.1,12.6,182000000000,2457000000000.0,8615456821.0,476593856754.0,517052492446,4713724043,230045824000,122946056236.0,349729113228.0,453433076323
1046,2020/2/0/0,0.07366919108306673,AMD,2.44,2.84,1635048740000,5232155968000.0,2306214513.0,364094088375.0,385448697783,25821465327,50450000000,1654428443546.0,203881813052.0,683852312344
1047,2020/2/0/0,0.04030181361269141,ANV,15.7,19.1,1275396250000,21936815500000.0,32134111066.0,794134407471.0,884093449537,108602803175,313600000000,321929498641.0,1692314879047.0,1629175094513
1048,2020/2/0/0,0.009304271673268165,APC,18.0,19.15,201213950000,3601729705000.0,11898980444.0,12358603017.0,33511471669,67375092861,70124686633,47342488030.0,52200000.0,35738120278
