,Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong
19,19,2016/2/0/0,33887241621.0,447802096702.0,517094984795.0,211652620139.0,31165218194.0,450225705752.0,237151347460.0,795893528361.0,494999880000.0
20,20,2016/1/0/0,28459469111.0,367388672113.0,423552742882.0,252813635649.0,,494856285883.0,192655801417.0,598843441578.0,494999880000.0
21,21,2015/4/0/0,21303375199.0,402756979629.0,459620575013.0,470061718120.0,,363509670487.0,214186555570.0,667079248529.0,494999880000.0
22,22,2015/3/0/0,19891174661.0,408027734333.0,467440978697.0,227200512276.0,10000000000.0,372123722388.0,178726022264.0,581000655071.0,396000000000.0
23,23,2015/2/0/0,5790593789.0,323297008095.0,369107895242.0,252136929527.0,10000000000.0,316598003829.0,203971928011.0,578086744318.0,396000000000.0
24,24,2015/1/0/0,-6436330052.0,290659434678.0,318379498949.0,216882657990.0,30000000000.0,209995247947.0,154212536871.0,529156466446.0,396000000000.0
25,25,2014/4/0/0,825205259.0,405609189336.0,444272916182.0,336807716067.0,30000000000.0,154088536599.0,137522087909.0,507673920248.0,
26,26,2014/3/0/0,16581420567.0,358015776197.0,409307011959.0,104024469754.0,,145197955192.0,141326768113.0,440352174720.0,
27,27,2014/2/0/0,15530007299.0,335407866981.0,383850285048.0,57789248387.0,,129994446521.0,179747992272.0,424331751504.0,
28,28,2014/1/0/0,-11235795667.0,276673092011.0,296780822709.0,67033956590.0,30000000000.0,127949598730.0,126351420433.0,491142025425.0,
29,29,2013/4/0/0,11412315962.0,286409479825.0,328467948047.0,130266723762.0,,146942387955.0,200025997066.0,515468247067.0,
30,30,2013/3/0/0,13360111692.0,265312830107.0,309036475445.0,38081355707.0,,137282401638.0,143977295491.0,333218175997.0,
31,31,2013/2/0/0,13281413083.0,231419606297.0,276072281125.0,45884372462.0,,200967343609.0,177069168313.0,379146099004.0,
32,32,2013/1/0/0,17417700377.0,195830687906.0,243931078252.0,96503117149.0,,111203277078.0,154881323996.0,320273204760.0,
33,33,2012/4/0/0,18572657747.0,232881551863.0,284925068560.0,103421045480.0,,93812818953.0,195577712457.0,357290324306.0,
34,34,2012/3/0/0,11347803503.0,200654244052.0,243785091652.0,11298810127.0,1647640596.0,80535555306.0,154821168505.0,264191989248.0,
35,35,2012/2/0/0,10728127886.0,174062936877.0,216588620905.0,24421087757.0,,72323127797.0,169405894582.0,302692087720.0,
36,36,2012/1/0/0,15528999078.0,216094982255.0,264734451335.0,15684040462.0,,132398441481.0,132932413540.0,334544074743.0,
37,37,2011/4/0/0,20814032182.0,228905984362.0,289235247085.0,32921082097.0,,110425880638.0,125598984405.0,342394479231.0,
38,38,2011/3/0/0,18913483555.0,172676766371.0,222849371634.0,42730977544.0,,129593537470.0,122971420882.0,340529210510.0,
