<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CMBB2106,20211101,0.71,0.74,0.65,0.67,471500
CMBB2107,20211101,2.2,2.27,2.2,2.21,240500
CMG,20211101,66,66,63,64,76500
CMSN2104,20211101,4.5,4.52,4.4,4.4,101900
CMSN2105,20211101,5.13,5.2,4.51,4.6,741500
CMSN2106,20211101,0.53,0.53,0.4,0.41,428300
CMSN2107,20211101,3.55,3.55,3.3,3.32,1200
CMSN2108,20211101,1.26,1.26,1.02,1.02,63300
CMSN2109,20211101,2.51,2.51,1.31,1.59,578000
CMSN2110,20211101,2.41,2.52,2.25,2.25,48300
CMV,20211101,13.75,14.7,13.75,14.7,4100
CMWG2104,20211101,7.1,7.15,6.72,6.8,243200
CMWG2106,20211101,3.4,3.46,3.16,3.16,45700
CMWG2107,20211101,7.55,7.55,7.31,7.38,176800
CMWG2108,20211101,3.77,3.82,3.69,3.75,1100
CMWG2109,20211101,7.21,7.23,6.82,7,33800
CMWG2110,20211101,1.27,1.27,1.13,1.2,215400
CMWG2111,20211101,1.96,1.96,1.8,1.8,517900
CMX,20211101,16.5,17.3,16.25,17.3,3371400
CNG,20211101,35.3,36.2,35,35.05,540700
CNVL2103,20211101,3.19,3.21,2.71,3.1,409700
CNVL2104,20211101,1.08,1.1,1.02,1.05,879400
CPDR2103,20211101,1.33,1.35,1.2,1.2,93000
CPNJ2104,20211101,1.2,1.25,1.07,1.07,127000
CPNJ2105,20211101,2.68,2.7,2.41,2.47,206200
CPNJ2106,20211101,2.7,2.7,2.26,2.46,46400
CPNJ2107,20211101,1.05,1.2,0.94,1.08,42100
CPNJ2108,20211101,1.18,1.22,1.01,1.11,302400
CRC,20211101,12.3,12.3,11.9,11.9,408900
CRE,20211101,31,32.15,30.95,32.1,2381900
CSM,20211101,17.6,18.1,17.6,18,95300
CSTB2105,20211101,1.81,1.9,1.78,1.85,74100
CSTB2106,20211101,0.21,0.24,0.21,0.21,1250600
CSTB2107,20211101,0.76,0.81,0.76,0.76,125000
CSTB2108,20211101,0.75,0.83,0.75,0.77,69100
CSTB2109,20211101,1.62,1.75,1.6,1.66,448000
CSTB2110,20211101,0.61,0.62,0.55,0.58,1160400
CSTB2111,20211101,1.03,1.05,0.73,0.91,367400
CSV,20211101,52.3,54.6,52.3,54.3,1546500
CTCB2105,20211101,3.32,3.43,3.13,3.13,467000
CTCB2106,20211101,1.16,1.19,1.15,1.15,194200
CTCB2107,20211101,1.61,1.62,1.59,1.61,48500
CTCB2108,20211101,4.18,4.23,3.92,4.09,108200
CTCB2109,20211101,2.75,2.77,2.62,2.69,521700
CTCB2110,20211101,1.17,1.3,0.96,1.15,1247900
CTCB2111,20211101,2.18,2.18,2.09,2.09,517000
CTD,20211101,71.2,73.8,71.2,73.1,607500
CTF,20211101,20.45,20.5,20.35,20.5,324300
CTG,20211101,31.8,32.4,31.6,32.2,17976000
CTI,20211101,19,19.35,18.6,19,2277200
CTS,20211101,29.1,30.85,29.1,30.85,5172800
CVHM2107,20211101,2.7,2.79,2.2,2.65,1063000
CVHM2108,20211101,1.05,1.07,0.9,0.9,211400
CVHM2109,20211101,1.5,1.51,1.2,1.34,57000
CVHM2110,20211101,1.64,1.68,1.49,1.54,1787000
CVHM2111,20211101,0.94,0.95,0.79,0.85,487600
CVHM2112,20211101,1.54,1.54,1.21,1.44,623900
CVIC2104,20211101,0.9,0.9,0.84,0.88,35500
CVIC2105,20211101,1.29,1.31,1.27,1.3,261000
CVIC2106,20211101,0.9,0.9,0.78,0.85,1887500
CVIC2107,20211101,1.9,1.9,1.8,1.86,851400
CVJC2101,20211101,3.6,3.61,3.36,3.37,153900
CVJC2102,20211101,0.41,0.43,0.33,0.38,362600
CVJC2103,20211101,1.23,1.23,1.14,1.15,122700
CVNM2106,20211101,1.01,1.1,0.97,1.02,118700
CVNM2107,20211101,0.89,0.9,0.81,0.81,194900
CVNM2108,20211101,1.72,1.74,1.61,1.62,86900
CVNM2109,20211101,1.57,1.58,1.39,1.53,415700
CVNM2110,20211101,1.12,1.2,1,1.07,238900
CVNM2111,20211101,0.72,0.72,0.64,0.68,752000
CVNM2112,20211101,1.52,1.52,1.45,1.45,879000
CVPB2105,20211101,0.55,0.57,0.5,0.53,55400
CVPB2106,20211101,2.29,2.29,2.15,2.19,236900
CVPB2107,20211101,5.75,6,5.1,5.5,69500
CVPB2108,20211101,2.6,2.63,2.52,2.52,275000
CVPB2109,20211101,1.1,1.17,1.01,1.03,211800
CVPB2110,20211101,2.89,2.89,2.89,2.89,100
CVRE2105,20211101,1.3,1.32,1.19,1.19,156600
CVRE2106,20211101,2.23,2.35,2.15,2.23,860300
CVRE2107,20211101,0.45,0.47,0.41,0.41,195100
CVRE2108,20211101,1.22,1.22,1.13,1.13,122300
CVRE2109,20211101,1.33,1.36,1.3,1.31,1092100
CVRE2110,20211101,0.78,0.82,0.73,0.76,536300
CVRE2111,20211101,0.93,0.94,0.83,0.92,458700
CVT,20211101,37.55,38,37.55,38,1700
D2D,20211101,65.9,66.5,64.2,64.8,481700
DAG,20211101,6.83,7.2,6.8,7.05,1702300
DAH,20211101,9.6,9.7,9.4,9.62,1091100
DBC,20211101,60,60.9,59.2,59.5,2315400
DBD,20211101,48.2,49.95,48.2,49.5,252200
DBT,20211101,17,18,16.8,17.25,339300
DC4,20211101,21,22.25,21,22.25,149300
DCL,20211101,37.4,37.5,36.9,36.9,211200
DCM,20211101,33.8,34.85,33.15,34,9363100
DGC,20211101,153,157.4,152.8,155.7,1075000
DGW,20211101,113.5,115,111.9,113.5,937500
DHA,20211101,56.9,56.9,55.5,56.5,154300
DHC,20211101,93.1,93.4,90.9,90.9,954000
DHG,20211101,103.9,104.9,102.1,102.3,35500
DHM,20211101,13.95,13.95,13.6,13.75,279200
DIG,20211101,50.9,54.4,49.8,54.4,11113000
DLG,20211101,7.5,7.7,7.2,7.26,10245200
DMC,20211101,57,57.2,56.6,56.7,35500
DPG,20211101,85,87,83.9,85.9,1418400
DPM,20211101,49.7,51.1,49,49.8,4737900
DPR,20211101,81,82.4,80.5,82.1,402600
DQC,20211101,26.45,26.45,25.8,25.95,217200
DRC,20211101,33,34.35,32.6,34.05,3707500
DRH,20211101,25,25.8,22.6,24.3,5787300
DRL,20211101,65.3,66,65.3,66,2100
DSN,20211101,45.5,45.5,45,45.1,24600
DTA,20211101,25,26.1,24.1,26.1,490300
DTL,20211101,37.8,37.8,37.2,37.2,2300
DTT,20211101,14.2,14.2,14.2,14.2,1400
DVP,20211101,61.5,61.6,60.5,60.6,76700
DXG,20211101,24.4,24.45,23.55,23.75,11216000
DXS,20211101,30.5,30.8,30.1,30.6,1538400
DXV,20211101,8.4,8.45,8.4,8.45,82300
E1VFVN30,20211101,25.71,25.78,25.43,25.69,761900
EIB,20211101,23.05,23.55,23,23.3,306300
ELC,20211101,27.5,28.6,27.35,28.5,953400
EVE,20211101,19.4,19.65,19.1,19.3,195400
EVG,20211101,14.15,14.7,13.7,13.7,800300
FCM,20211101,8.9,8.9,8.78,8.85,443800
FCN,20211101,17,17.1,16.4,16.5,5900600
FDC,20211101,14.9,15,14.3,14.3,23800
FIR,20211101,41.1,41.2,40.2,40.4,245100
FIT,20211101,13.2,13.4,13.15,13.25,8183200
FLC,20211101,12.3,12.7,12.25,12.45,25734800
FMC,20211101,49,49.5,48.75,49,232100
FPT,20211101,97.4,97.4,95.6,95.8,2855800
FRT,20211101,53,55.7,52.6,54.9,3028900
FTM,20211101,5.55,5.81,5.45,5.58,1674900
FTS,20211101,62.7,66.3,62,66.3,1389900
FUCTVGF2,20211101,13.5,13.5,13,13.5,5300
FUCVREIT,20211101,10.3,10.3,10.1,10.25,4100
FUEIP100,20211101,10.9,10.91,10.85,10.9,15700
FUEMAV30,20211101,17.9,17.96,17.74,17.9,62100
FUESSV30,20211101,18.92,18.92,18.79,18.81,46000
FUESSV50,20211101,22.69,22.8,22.5,22.5,71800
FUESSVFL,20211101,20.4,20.52,20.4,20.5,65100
FUEVFVND,20211101,27.84,27.84,27.38,27.5,3501700
FUEVN100,20211101,19.33,19.34,19.2,19.2,51500
GAB,20211101,196.5,196.5,196.4,196.4,200
GAS,20211101,124.6,127,121,121.3,2076500
GDT,20211101,59.5,60.5,59.5,59.8,68900
GEG,20211101,21,21.25,20.1,20.4,2000200
GEX,20211101,28,28.9,27.95,28.3,13840700
GIL,20211101,68,68,66.9,67.6,1045300
GMC,20211101,27.85,27.85,27.2,27.25,7200
GMD,20211101,52.9,52.9,51.3,51.6,3998900
GSP,20211101,16.8,16.8,16.35,16.4,533300
GTA,20211101,23.35,23.35,23.3,23.35,299300
GTN,20211101,21.05,21.6,20.75,21,2065600
GVR,20211101,39.8,40,39,39.35,5673900
HAG,20211101,5.4,5.51,5.33,5.51,29931400
HAH,20211101,71.5,71.5,68.9,69.1,1645400
HAI,20211101,4.94,5.2,4.93,5.19,11156100
HAP,20211101,16,16,15.25,15.5,1388100
HAR,20211101,10,10,9.5,9.96,2875500
HAS,20211101,13.4,13.4,12.9,12.9,2800
HAX,20211101,25.3,25.3,24.2,24.45,1346600
HBC,20211101,19.45,20.2,19.3,20.2,13455700
HCD,20211101,13.7,14,13.6,13.75,1366900
HCM,20211101,38.5,39.7,38.3,39.5,5864200
HDB,20211101,25.45,25.5,25.25,25.3,3126200
HDC,20211101,108,108.5,104.1,106.9,662700
HDG,20211101,66,68.5,65.5,67.1,1826800
HHP,20211101,14.65,14.75,14.4,14.4,708500
HHS,20211101,9.1,9.4,9,9.18,6330000
HID,20211101,10,10.4,9.99,10.2,2290100
HII,20211101,21.8,21.8,20.6,20.95,1367500
HMC,20211101,31.95,31.95,31.35,31.45,281700
HNG,20211101,7.55,7.99,7.54,7.86,12052600
HPG,20211101,57.1,57.1,55.7,55.7,45218500
HPX,20211101,33.15,34.5,33.15,34,876600
HQC,20211101,5.5,5.72,5.5,5.69,34062200
HRC,20211101,54.5,54.5,51.6,53,3000
HSG,20211101,47.5,47.6,45.85,46,17399100
HSL,20211101,9.4,9.49,9,9.19,192800
HT1,20211101,24.75,24.85,24,24,4692900
HTI,20211101,20.9,20.9,20.2,20.65,68000
HTL,20211101,20,20.6,20,20,1800
HTN,20211101,71.1,74,71,74,380400
HTV,20211101,15.9,16.2,15.6,15.6,8300
HU1,20211101,14,14.6,14,14.6,34300
HU3,20211101,9.28,9.28,9.28,9.28,25900
HUB,20211101,29.35,31.35,29,31.25,240800
HVH,20211101,11,11.25,10.85,11.05,1270200
HVN,20211101,24.8,24.8,24.5,24.7,718200
HVX,20211101,8.5,8.5,8.29,8.32,75000
IBC,20211101,21.85,21.9,21.75,21.9,149900
ICT,20211101,22.5,23.5,22.3,23,238200
IDI,20211101,8.69,9.19,8.65,9.19,4561900
IJC,20211101,33.4,34,32.6,32.9,9518900
ILB,20211101,35.8,36.5,35.4,35.6,128100
IMP,20211101,73.8,75,73.8,74,6500
ITA,20211101,8.6,9.11,8.6,9,26335200
ITC,20211101,24.4,25.4,24,24.7,2077500
ITD,20211101,23.65,24.9,23.4,24.6,1239200
JVC,20211101,7.22,7.78,7.21,7.41,4643400
KBC,20211101,48.95,49.8,48.1,49,10961800
KDC,20211101,58,60,57.8,60,2405000
KDH,20211101,50,50.1,48.6,49,5908400
KHG,20211101,16.9,18.6,16.85,18,2819300
KHP,20211101,11,11,11,11,105700
KMR,20211101,8.7,9.29,8.69,9,1548400
KOS,20211101,34.85,34.85,32.6,33,448400
KPF,20211101,14.8,14.85,14.4,14.8,35900
KSB,20211101,39.9,42.05,39.3,41.85,3210200
L10,20211101,23.45,23.45,23.45,23.45,2100
LAF,20211101,20.5,20.5,19.2,19.8,7500
LBM,20211101,68.8,73.7,68.8,70,9100
LCG,20211101,18.3,18.75,18,18.15,4966800
LCM,20211101,3.93,4.2,3.93,4.2,529600
LDG,20211101,10.45,10.45,10.3,10.45,5753700
LEC,20211101,13.2,13.25,13.2,13.25,1200
LGC,20211101,54.4,54.4,52,52,600
LGL,20211101,9.33,9.48,8.89,9.23,1234100
LHG,20211101,57.1,57.1,55.6,55.7,864100
LIX,20211101,55.5,55.5,55,55.2,10300
LM8,20211101,13.25,13.25,13.2,13.25,78800
LPB,20211101,21.4,21.75,21.1,21.15,10691400
LSS,20211101,15.35,15.35,15,15.05,1313000
MBB,20211101,28.6,28.7,28.3,28.4,10652400
MCG,20211101,6.5,6.63,6.25,6.62,993400
MCP,20211101,28.2,28.3,28.2,28.2,4800
MDG,20211101,14,14,14,14,300
MHC,20211101,13.35,13.75,13.1,13.5,3401000
MIG,20211101,28.05,28.2,27.3,27.5,1586000
MSB,20211101,23.1,23.5,23.05,23.45,10233100
MSH,20211101,92.8,92.8,89,89.2,251900
MSN,20211101,150,150.1,145.1,145.5,1668800
MWG,20211101,131.5,131.8,129,130,1140200
NAF,20211101,27,28.4,27,27.55,1039600
NAV,20211101,18.6,19.15,18.6,19.15,4500
NBB,20211101,45.25,48.4,45.25,48.4,1426800
NCT,20211101,88.2,89.1,87.5,89.1,20100
NHA,20211101,51.2,51.2,49,51.2,514700
NHH,20211101,42.7,43.5,42,42.3,1082400
NKG,20211101,54,54.2,52.7,53.3,13646000
NLG,20211101,60,60.4,56.7,58.2,7326000
NNC,20211101,30.15,31,30.15,30.3,107200
NSC,20211101,81.2,83,81.1,82.4,9300
NT2,20211101,23.75,23.75,23,23.2,1200700
NTL,20211101,44.7,45.6,44.05,44.45,1915500
NVL,20211101,110.7,110.9,109,109.6,3415000
NVT,20211101,11.95,12,11.35,11.7,30400
OCB,20211101,26.65,27,26,26.85,4271400
OGC,20211101,7.9,7.9,7.5,7.71,1830200
OPC,20211101,56.1,56.4,56.1,56.4,5500
PAC,20211101,39.65,40.05,39,39.15,11000
PAN,20211101,32.4,33.8,32.05,32.95,8127000
PC1,20211101,42.5,43,42,42.15,3036200
PDN,20211101,100,100,100,100,100
PDR,20211101,95.8,96.4,92.6,93.1,3886700
PET,20211101,31.1,31.9,30.5,30.65,2500200
PGC,20211101,28.1,28.5,27.5,27.55,352200
PGD,20211101,36.8,37,35.6,36.3,28100
PGI,20211101,32,32.3,30,30.65,217800
PHC,20211101,18.6,18.8,17.8,18.6,1853000
PHR,20211101,61.2,61.5,59.1,59.5,1276200
PIT,20211101,7,7.11,6.99,7.11,32400
PJT,20211101,12.75,13.1,12.75,12.85,37100
PLP,20211101,15.9,16.2,15.6,15.75,1472500
PLX,20211101,53.9,54.8,53.7,53.9,1823500
PME,20211101,81,84.5,81,84.5,1400
PMG,20211101,17.6,17.6,17.3,17.3,3100
PNC,20211101,9.4,9.6,9.35,9.6,800
PNJ,20211101,104,104.6,101,101.1,679600
POM,20211101,17.4,17.5,17.05,17.15,476000
POW,20211101,13,13.3,12.9,13.1,32971900
PPC,20211101,23.4,23.4,23,23.1,188900
PSH,20211101,24.35,24.9,23,23.45,1954700
PTB,20211101,112.7,113.6,110,110.9,552400
PTC,20211101,11,11,10.4,10.4,900
PTL,20211101,8.85,9.2,8.85,9.11,373100
PVD,20211101,28.25,28.5,27.2,27.5,10888100
PVT,20211101,25.3,25.7,24.8,24.95,5950000
PXI,20211101,4.3,4.7,4.3,4.65,1437900
PXS,20211101,7.61,8.06,7.61,8.06,1643100
QBS,20211101,4.52,4.78,4.52,4.7,5324100
QCG,20211101,8.55,8.8,8.2,8.6,1305200
RAL,20211101,196,196,187,191,61800
RDP,20211101,12.8,13,12.65,12.85,144400
