Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua
0,2021/1/0/0,62268844174,791222956311,945701163711,236267922735,288127097758.0,330543029084,996908500006,1321831245787,620683490000,620683490000.0,106.9
1,2020/4/0/0,75607267117,608795422570,752230364875,287922412252,267127097758.0,199512406932,1006919927775,1256932784884,620683490000,620683490000.0,74.5
2,2020/3/0/0,85554201635,804222494058,979584856138,271740984515,267297097758.0,329827448051,826720486241,1271379985470,620683490000,620683490000.0,26.4
3,2020/2/0/0,81130924738,759936849993,947724793592,213354431364,225407435672.0,343185139579,997393899549,1532866577817,580169180000,580169180000.0,21.95
4,2020/1/0/0,33935505790,676579046618,790176794143,231979521237,225407435672.0,272122983549,843184955783,1283598292406,580169180000,580169180000.0,15.05
5,2019/4/0/0,63235220327,705890521716,855035764301,225134215210,225390000000.0,258791081138,892708172024,1331355715842,580169180000,580169180000.0,19.75
6,2019/3/0/0,58521866231,863704803918,1019526616441,195453510908,202790000000.0,299203726420,819032543723,1274811326639,580169180000,580169180000.0,21.75
7,2019/2/0/0,52081457327,662379690195,791373132489,185931294330,202790000000.0,269923237477,1029498665580,1592612548777,542300550000,542300550000.0,25.9
8,2019/1/0/0,43008905436,833507090884,978264528962,181876349492,202565000000.0,311756825573,894680974535,1400690683610,542300550000,542300550000.0,28.95
9,2018/4/0/0,46943313337,654199301956,835187590247,216257327777,202565000000.0,279886766584,1138024436123,1701087853546,542300550000,542300550000.0,28.4
10,2018/3/0/0,96727715276,971991309472,1178449738933,209794475772,201890000000.0,579917831825,955146439473,1649248004189,542300550000,542300550000.0,24.5
11,2018/2/0/0,67689518733,655471820133,799999459647,181235287661,201890000000.0,318298562951,1098333422222,1625516380312,542300550000,542300550000.0,18.9
12,2018/1/0/0,49075091450,701577168172,848373929360,208206062180,151125000000.0,361437922499,734142070228,1487786452086,516538290000,516538290000.0,20.5
13,2017/4/0/0,21985071179,645727952590,759741886163,130484287864,151125000000.0,475027821634,805789570715,1626471053681,516538290000,516538290000.0,23.0
14,2017/3/0/0,52205493285,766291299310,901904744557,136823904342,128520000000.0,637778067913,722266676163,1736533625808,516538290000,516538290000.0,25.2
15,2017/2/0/0,70610970448,649066371419,771720759657,125332575610,83130000000.0,576481178805,824511925594,1728922500030,491999510000,491999510000.0,29.6
