Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua
0,2021/1/0/0,88715902913.0,3266486727246.0,3536627629850.0,281571412327.0,61061523639.0,571387594056.0,1001800303581.0,2004906792528.0,333205320000.0,333205320000.0,79.7
1,2020/4/0/0,133363778743.0,5621766089979.0,5975964023246.0,548813754677.0,48181523639.0,655429823698.0,722653036750.0,2055604899529.0,333205320000.0,333205320000.0,74.0
2,2020/3/0/0,66828066201.0,3674359740483.0,3900572379823.0,292180185550.0,39332075283.0,632649075274.0,973405634349.0,2065940072896.0,249955730000.0,249955730000.0,71.0
3,2020/2/0/0,15321707475.0,2941047978942.0,3107025937290.0,317420401411.0,39332075283.0,652628181248.0,1013255468101.0,2183246106800.0,249955730000.0,249955730000.0,85.6
4,2020/1/0/0,8819753142.0,2945064320404.0,3145733290498.0,269068688234.0,40692075283.0,440030320648.0,1462195816163.0,2370023083713.0,249955730000.0,249955730000.0,69.3
5,2019/4/0/0,71350484047.0,4926901153906.0,5216738389128.0,324049319822.0,44192075283.0,704129521659.0,1384166525679.0,2580808859358.0,249955730000.0,249955730000.0,40.5
6,2019/3/0/0,46656323490.0,4263052416586.0,4496237617378.0,235333479106.0,38723075283.0,619151674611.0,1571743572877.0,2633993884075.0,249955730000.0,249955730000.0,40.9
7,2019/2/0/0,35015916083.0,4105861145244.0,4362063906256.0,254624976298.0,38173075283.0,754029034645.0,1399056132903.0,2625304762829.0,249955730000.0,249955730000.0,42.3
8,2019/1/0/0,80462520902.0,3941278027388.0,4214807078941.0,262360514868.0,39523075283.0,717968094789.0,1159750105724.0,2346238496103.0,249955730000.0,249955730000.0,43.0
9,2018/4/0/0,109863316707.0,4886755410867.0,5224986853842.0,265045104495.0,39488075283.0,695669429132.0,1139750713501.0,2248925047492.0,249955730000.0,249955730000.0,43.7
10,2018/3/0/0,78061867758.0,3239782086751.0,3490257695779.0,279414434776.0,37982075283.0,569867136150.0,914429954707.0,1977554812891.0,249955730000.0,249955730000.0,45.2
11,2018/2/0/0,55198565077.0,2931461702867.0,3156192917454.0,197179375965.0,41060252858.0,439288470538.0,623590609132.0,1513120606115.0,249955730000.0,249955730000.0,44.9
12,2018/1/0/0,57183701798.0,2776327001582.0,2985214928031.0,213232770520.0,35032075283.0,404053538394.0,716257866028.0,1548252726076.0,249955730000.0,249955730000.0,48.0
13,2017/4/0/0,44640541532.0,3420386205115.0,3622482104224.0,221372638341.0,41584913855.0,614183515730.0,716174323116.0,1781678371510.0,249955730000.0,249955730000.0,47.95
14,2017/3/0/0,20703914324.0,3288578739580.0,3460251427146.0,180080751333.0,46416281855.0,550698616929.0,975068935934.0,1989029247648.0,249955730000.0,249955730000.0,44.9
15,2017/2/0/0,73488358146.0,6377569790564.0,6722356548248.0,168355414832.0,48566281855.0,553240891021.0,923356013063.0,1951920777714.0,,249955730000.0,54.0
16,2017/1/0/0,39110796296.0,2978979565900.0,3149750316859.0,143745718325.0,46390445855.0,452034296971.0,809717956819.0,1420313384868.0,249955730000.0,249955730000.0,55.0
17,2016/4/0/0,62612832456.0,4042848455316.0,4286468305368.0,233344605028.0,46294445855.0,533669520879.0,851648683444.0,1585763200972.0,249955730000.0,249955730000.0,44.15
18,2016/3/0/0,41979846643.0,3183846571421.0,3350418725867.0,230848184183.0,50476444157.0,362771688461.0,950234984576.0,1564083815283.0,249955730000.0,249955730000.0,43.0
19,2016/2/0/0,36760724936.0,3148459019815.0,3302770526592.0,174573336000.0,46795913855.0,498609797572.0,645230009202.0,1383655327076.0,249955730000.0,249955730000.0,39.1
20,2016/1/0/0,32102453914.0,2581763474794.0,2731157220218.0,140872795088.0,41333913855.0,393324624907.0,554962305269.0,1060118654518.0,249955730000.0,249955730000.0,36.1
21,2015/4/0/0,37114679205.0,2980557886385.0,3125912025325.0,204214757362.0,47328929874.0,389845410425.0,596567412612.0,1192474457541.0,249955730000.0,249955730000.0,33.5
22,2015/3/0/0,50437042749.0,2632378092794.0,2721536799589.0,215149751188.0,42025695463.0,353523878794.0,271109213757.0,948035454681.0,249955730000.0,249955730000.0,29.4
23,2015/2/0/0,45616805052.0,2093031644550.0,2224084611084.0,131442381821.0,42712318543.0,217765491810.0,562032420104.0,1075184877835.0,249955730000.0,249955730000.0,20.9
24,2015/1/0/0,24220799476.0,1731820815313.0,1856626247652.0,120205966070.0,48276812679.0,175536832544.0,344204540341.0,1005145765096.0,249955730000.0,249955730000.0,17.7
25,2014/4/0/0,27266602059.0,2368318939503.0,2518943521484.0,185839933973.0,47539664679.0,254795504980.0,325138308554.0,966168062583.0,0.0,249955730000.0,16.4
26,2014/3/0/0,23838944607.0,1901596950629.0,2022322127375.0,105723731816.0,51946792169.0,229669105790.0,299335928006.0,889251976835.0,0.0,249955730000.0,15.5
27,2014/2/0/0,19399768652.0,1667331869855.0,1795243613251.0,81248237590.0,42212791679.0,202444968039.0,286412901728.0,848089313830.0,0.0,249955730000.0,15.3
28,2014/1/0/0,16187831850.0,1495203586763.0,1593483576264.0,104150899884.0,43459198904.0,177932506544.0,223751084820.0,807104893464.0,0.0,249955730000.0,14.5
29,2013/4/0/0,,,,,,,,,0.0,,16.0
30,2013/3/0/0,18082527554.0,1497271456156.0,1599177944329.0,148824655708.0,48063334492.0,204469711345.0,272388909306.0,929210480088.0,0.0,249955730000.0,14.6
31,2013/2/0/0,21717442886.0,1495697391878.0,1592028897469.0,186640254835.0,19734052543.0,191582928920.0,294784426998.0,933928400366.0,0.0,249955730000.0,12.9
32,2013/1/0/0,12996764046.0,1270154486980.0,1371073911449.0,142068914800.0,13034752543.0,185355510945.0,255513414485.0,823999600266.0,0.0,249955730000.0,12.0
33,2012/4/0/0,16843494124.0,1825917972952.0,1945130467240.0,222128381716.0,12882052543.0,234058646124.0,248901146241.0,927708430631.0,0.0,249955730000.0,11.7
34,2012/3/0/0,11208463034.0,1204376945233.0,1298861852995.0,191716112373.0,24222052543.0,344858246123.0,282080972437.0,1114698206420.0,0.0,249955730000.0,8.4
35,2012/2/0/0,17625064415.0,1044313709121.0,1131369646487.0,153245232697.0,22322052543.0,312205157959.0,312774193780.0,1096389059573.0,0.0,249955730000.0,11.4
36,2012/1/0/0,2981186313.0,1040256106127.0,1145031290307.0,73001953643.0,26662052543.0,327088443014.0,383386280196.0,1097254246997.0,0.0,249955730000.0,15.3
37,2011/4/0/0,20804472055.0,1762364140089.0,1874818164484.0,112177223398.0,31176951543.0,248724392781.0,315738651425.0,1055950815571.0,0.0,249955730000.0,16.0
38,2011/3/0/0,35330629806.0,1728607936344.0,1839210693326.0,120646363198.0,22694118763.0,435362959624.0,331143920380.0,1024969359889.0,0.0,249955730000.0,16.0
39,2011/2/0/0,9865338121.0,1114455082047.0,1201697178476.0,118483624536.0,31970301543.0,306782555484.0,260553823173.0,788420133186.0,0.0,249955730000.0,18.2
40,2011/1/0/0,8756478145.0,1165199566483.0,1255771596455.0,118754515193.0,33700897103.0,342258997314.0,260683801046.0,882516913902.0,0.0,249955730000.0,20.9
41,2010/4/0/0,39496116967.0,1351962869584.0,1456205932572.0,106493581741.0,36129147943.0,372188482670.0,274300800599.0,864573282198.0,0.0,249955730000.0,24.1
