Volume,Time
,2021/3/0/0
34447691000000.0,2021/2/0/0
34447691000000.0,2021/1/0/0
34447691000000.0,2020/4/0/0
34447691000000.0,2020/3/0/0
34447691000000.0,2020/2/0/0
34447691000000.0,2020/1/0/0
34309140000000.0,2019/4/0/0
34299353890000.0,2019/3/0/0
34299353890000.0,2019/2/0/0
32756212300000.0,2019/1/0/0
32756212300000.0,2018/4/0/0
32756212310000.0,2018/3/0/0
26377079540000.0,2018/2/0/0
26377079540000.0,2018/1/0/0
26377079540000.0,2017/4/0/0
26377079540000.0,2017/3/0/0
26377079540000.0,2017/2/0/0
26377079540000.0,2017/1/0/0
26377079540000.0,2016/4/0/0
26377079540000.0,2016/3/0/0
21532347920000.0,2016/2/0/0
19398548510000.0,2016/1/0/0
18681880870000.0,2015/4/0/0
18460745440000.0,2015/3/0/0
14587886850000.0,2015/2/0/0
14545550980000.0,2015/1/0/0
14545550980000.0,2014/4/0/0
14299574100000.0,2014/3/0/0
9296385120000.0,2014/2/0/0
9296385120000.0,2014/1/0/0
9296036790000.0,2013/4/0/0
9288068790000.0,2013/3/0/0
9286327130000.0,2013/2/0/0
9281450480000.0,2013/1/0/0
7004620550000.0,2012/4/0/0
7004620550000.0,2012/3/0/0
7004620550000.0,2012/2/0/0
5493833050000.0,2012/1/0/0
3911498930000.0,2011/4/0/0
3911498930000.0,2011/3/0/0
3911498930000.0,2011/2/0/0
3815746480000.0,2011/1/0/0
3726252370000.0,2010/4/0/0
3682131130000.0,2010/3/0/0
3605466600000.0,2010/2/0/0
1996272380000.0,2010/1/0/0
1996272380000.0,2009/4/0/0
1996276545459.0,2009/3/0/0
1199831560000.0,2009/2/0/0
1199831560000.0,2009/1/0/0
1199831560000.0,2008/4/0/0
1199831560000.0,2008/3/0/0
1199831560000.0,2008/2/0/0
1199831560000.0,2008/1/0/0
