Volume,Time
,2021/3/0/0
5200346670000.0,2021/2/0/0
5200346670000.0,2021/1/0/0
5200346670000.0,2020/4/0/0
5200346670000.0,2020/3/0/0
5200346670000.0,2020/2/0/0
5200346670000.0,2020/1/0/0
5200346670000.0,2019/4/0/0
3500714120000.0,2019/3/0/0
3500714120000.0,2019/2/0/0
3500714120000.0,2019/1/0/0
3500714120000.0,2018/4/0/0
3425714120000.0,2018/3/0/0
3425714120000.0,2018/2/0/0
3031926860000.0,2018/1/0/0
3031926860000.0,2017/4/0/0
2859113590000.0,2017/3/0/0
2859113590000.0,2017/2/0/0
2530490680000.0,2017/1/0/0
2530490680000.0,2016/4/0/0
1172635700000.0,2016/3/0/0
1172635700000.0,2016/2/0/0
1172635700000.0,2016/1/0/0
1172635700000.0,2015/4/0/0
1168635700000.0,2015/3/0/0
1062454690000.0,2015/2/0/0
1007000000000.0,2015/1/0/0
750000000000.0,2014/4/0/0
750000000000.0,2014/3/0/0
750000000000.0,2014/2/0/0
750000000000.0,2014/1/0/0
527996810000.0,2013/4/0/0
527996810000.0,2013/3/0/0
524996810000.0,2013/2/0/0
420000000000.0,2013/1/0/0
420000000000.0,2012/4/0/0
320000000000.0,2012/3/0/0
320000000000.0,2012/2/0/0
320000000000.0,2012/1/0/0
320000000000.0,2011/4/0/0
160000000000.0,2011/3/0/0
160000000000.0,2011/2/0/0
160000000000.0,2011/1/0/0
160000000000.0,2010/4/0/0
160000000000.0,2010/3/0/0
80000000000.0,2010/2/0/0
80000000000.0,2010/1/0/0
80000000000.0,2009/4/0/0
80000000000.0,2009/3/0/0
80000000000.0,2009/2/0/0
,2009/1/0/0
,2008/4/0/0
,2008/3/0/0
,2008/2/0/0
,2008/1/0/0
