Volume,Time
,2021/3/0/0
2832095780000.0,2021/2/0/0
2831681520000.0,2021/1/0/0
2831681520000.0,2020/4/0/0
2831681520000.0,2020/3/0/0
2831681520000.0,2020/2/0/0
2831681520000.0,2020/1/0/0
2831681520000.0,2019/4/0/0
2831681520000.0,2019/3/0/0
2831681520000.0,2019/2/0/0
2830432730000.0,2019/1/0/0
2830432730000.0,2018/4/0/0
2800432730000.0,2018/3/0/0
2800432730000.0,2018/2/0/0
2798064150000.0,2018/1/0/0
2798064150000.0,2017/4/0/0
2798064150000.0,2017/3/0/0
2798064150000.0,2017/2/0/0
2748282370000.0,2017/1/0/0
2748282370000.0,2016/4/0/0
2738346370000.0,2016/3/0/0
2738282370000.0,2016/2/0/0
2601544070000.0,2016/1/0/0
2280640380000.0,2015/4/0/0
2270576380000.0,2015/3/0/0
2026095380000.0,2015/2/0/0
1952909040000.0,2015/1/0/0
1867549040000.0,2014/4/0/0
1155270000000.0,2014/3/0/0
1128615000000.0,2014/2/0/0
1128615000000.0,2014/1/0/0
1128615000000.0,2013/4/0/0
1128015000000.0,2013/3/0/0
1128015000000.0,2013/2/0/0
1128015000000.0,2013/1/0/0
1128015000000.0,2012/4/0/0
1128015000000.0,2012/3/0/0
752010000000.0,2012/2/0/0
751410000000.0,2012/1/0/0
751410000000.0,2011/4/0/0
751410000000.0,2011/3/0/0
751410000000.0,2011/2/0/0
751410000000.0,2011/1/0/0
751410000000.0,2010/4/0/0
750810000000.0,2010/3/0/0
750810000000.0,2010/2/0/0
750810000000.0,2010/1/0/0
500540000000.0,2009/4/0/0
500540000000.0,2009/3/0/0
400600000000.0,2009/2/0/0
400600000000.0,2009/1/0/0
400200000000.0,2008/4/0/0
400200000000.0,2008/3/0/0
400200000000.0,2008/2/0/0
400000000000.0,2008/1/0/0
