Volume,Time
,2021/3/0/0
814429350000.0,2021/2/0/0
708221610000.0,2021/1/0/0
708221610000.0,2020/4/0/0
631104100000.0,2020/3/0/0
724461610000.0,2020/2/0/0
548807570000.0,2020/1/0/0
548807570000.0,2019/4/0/0
598807570000.0,2019/3/0/0
475205070000.0,2019/2/0/0
475205070000.0,2019/1/0/0
475205070000.0,2018/4/0/0
432019980000.0,2018/3/0/0
432039540000.0,2018/2/0/0
345643420000.0,2018/1/0/0
345643420000.0,2017/4/0/0
345643420000.0,2017/3/0/0
345643420000.0,2017/2/0/0
345643420000.0,2017/1/0/0
312653570000.0,2016/4/0/0
312653570000.0,2016/3/0/0
266105710000.0,2016/2/0/0
266105710000.0,2016/1/0/0
237660390000.0,2015/4/0/0
237660390000.0,2015/3/0/0
237660390000.0,2015/2/0/0
237660390000.0,2015/1/0/0
230738240000.0,2014/4/0/0
230738240000.0,2014/3/0/0
230738240000.0,2014/2/0/0
230738240000.0,2014/1/0/0
230738240000.0,2013/4/0/0
230738240000.0,2013/3/0/0
230738240000.0,2013/2/0/0
230738240000.0,2013/1/0/0
230738240000.0,2012/4/0/0
230738240000.0,2012/3/0/0
230738240000.0,2012/2/0/0
182758700000.0,2012/1/0/0
182758700000.0,2011/4/0/0
182758700000.0,2011/3/0/0
182758700000.0,2011/2/0/0
182758700000.0,2011/1/0/0
132124880000.0,2010/4/0/0
132124880000.0,2010/3/0/0
132124880000.0,2010/2/0/0
132124880000.0,2010/1/0/0
101026260000.0,2009/4/0/0
80026260000.0,2009/3/0/0
80026260000.0,2009/2/0/0
63480000000.0,2009/1/0/0
63480000000.0,2008/4/0/0
63480000000.0,2008/3/0/0
63480000000.0,2008/2/0/0
63480000000.0,2008/1/0/0
