Volume,Time
,2021/3/0/0
157530690000.0,2021/2/0/0
150853050000.0,2021/1/0/0
150853050000.0,2020/4/0/0
150853050000.0,2020/3/0/0
150853050000.0,2020/2/0/0
150853050000.0,2020/1/0/0
143745770000.0,2019/4/0/0
143745770000.0,2019/3/0/0
125201610000.0,2019/2/0/0
125201610000.0,2019/1/0/0
125201610000.0,2018/4/0/0
119301540000.0,2018/3/0/0
119301540000.0,2018/2/0/0
119301540000.0,2018/1/0/0
119301540000.0,2017/4/0/0
113682420000.0,2017/3/0/0
113682420000.0,2017/2/0/0
113682420000.0,2017/1/0/0
113682420000.0,2016/4/0/0
108330890000.0,2016/3/0/0
108330890000.0,2016/2/0/0
108330890000.0,2016/1/0/0
108330890000.0,2015/4/0/0
108330890000.0,2015/3/0/0
103177040000.0,2015/2/0/0
103177040000.0,2015/1/0/0
103177040000.0,2014/4/0/0
103177040000.0,2014/3/0/0
91397040000.0,2014/2/0/0
87044800000.0,2014/1/0/0
87044800000.0,2013/4/0/0
87044800000.0,2013/3/0/0
87044800000.0,2013/2/0/0
87044808054.0,2013/1/0/0
87044808054.0,2012/4/0/0
82899818054.0,2012/3/0/0
82899818054.0,2012/2/0/0
82899818054.0,2012/1/0/0
82899818054.0,2011/4/0/0
82899818054.0,2011/3/0/0
82899818054.0,2011/2/0/0
82899818054.0,2011/1/0/0
82899818054.0,2010/4/0/0
82899818054.0,2010/3/0/0
82899818054.0,2010/2/0/0
82899818054.0,2010/1/0/0
82899818054.0,2009/4/0/0
82899818054.0,2009/3/0/0
27633278054.0,2009/2/0/0
27633278054.0,2009/1/0/0
27633278054.0,2008/4/0/0
27633278054.0,2008/3/0/0
24030308054.0,2008/2/0/0
24030308054.0,2008/1/0/0
