Volume,Time
,2021/3/0/0
953578000000.0,2021/2/0/0
953578000000.0,2021/1/0/0
953578000000.0,2020/4/0/0
953578000000.0,2020/3/0/0
953578000000.0,2020/2/0/0
953578000000.0,2020/1/0/0
953578000000.0,2019/4/0/0
953578000000.0,2019/3/0/0
866895010000.0,2019/2/0/0
862234490000.0,2019/1/0/0
768787220000.0,2018/4/0/0
756587220000.0,2018/3/0/0
756587220000.0,2018/2/0/0
635797000000.0,2018/1/0/0
635597000000.0,2017/4/0/0
529830840000.0,2017/3/0/0
529830840000.0,2017/2/0/0
,2017/1/0/0
529830840000.0,2016/4/0/0
460726750000.0,2016/3/0/0
453126750000.0,2016/2/0/0
453126750000.0,2016/1/0/0
453126750000.0,2015/4/0/0
453126750000.0,2015/3/0/0
302086840000.0,2015/2/0/0
302086840000.0,2015/1/0/0
302086840000.0,2014/4/0/0
302086840000.0,2014/3/0/0
302086840000.0,2014/2/0/0
363039152500.0,2014/1/0/0
355106232526.0,2013/4/0/0
355933041539.0,2013/3/0/0
277148160000.0,2013/2/0/0
331303515863.0,2013/1/0/0
331650975363.0,2012/4/0/0
332023846067.0,2012/3/0/0
277148160000.0,2012/2/0/0
332999760841.0,2012/1/0/0
332992441670.0,2011/4/0/0
333449270925.0,2011/3/0/0
334048223732.0,2011/2/0/0
335845214145.0,2011/1/0/0
279648160000.0,2010/4/0/0
277148160000.0,2010/3/0/0
240999420000.0,2010/2/0/0
240999420000.0,2010/1/0/0
200832850000.0,2009/4/0/0
200832850000.0,2009/3/0/0
200832850000.0,2009/2/0/0
200832850000.0,2009/1/0/0
,2008/4/0/0
,2008/3/0/0
,2008/2/0/0
,2008/1/0/0
