,time,tien,tyle
0,03/09/2020,True,12
1,28/08/2019,True,8
2,03/06/2019,False,100:10
3,03/06/2019,True,15
4,27/08/2018,True,10
5,08/05/2018,True,10
6,21/12/2017,False,100:10
7,21/12/2017,True,20
8,20/10/2016,True,10
9,03/06/2016,False,100:10
10,03/06/2016,True,10
11,10/09/2015,True,10
12,05/06/2015,False,5:1
13,05/06/2015,True,5
14,04/12/2014,True,10
15,20/06/2014,True,5
16,26/08/2013,True,15
17,01/07/2013,False,10:2
18,23/04/2013,True,20
19,18/12/2012,True,20
20,29/12/2011,True,20
21,29/08/2011,True,20
22,20/08/2010,True,20
23,23/02/2010,True,10
24,08/06/2009,True,20
25,17/12/2008,True,30
26,06/08/2008,True,20
27,05/06/2008,False,10:2
