,time,tien,tyle
0,09/11/2020,True,20
1,10/08/2020,True,10
2,03/06/2020,True,20
3,17/12/2019,True,20
4,02/05/2019,True,15
5,13/12/2018,True,15
6,06/08/2018,True,20
7,14/06/2018,False,10:1
8,16/05/2018,True,20
9,30/11/2017,True,20
10,07/08/2017,True,20
11,10/05/2017,True,25
12,16/12/2016,True,15
13,24/10/2016,True,20
14,31/08/2016,False,100:10
15,18/03/2016,True,10
16,18/12/2015,True,15
17,11/08/2015,True,15
18,10/06/2015,False,100:15
19,14/01/2015,True,10
20,15/10/2014,True,10
21,14/05/2014,True,7
22,26/11/2013,True,8
23,13/09/2013,True,10
24,12/12/2012,True,10
25,11/06/2012,True,10
26,23/02/2012,True,10
27,29/06/2011,True,10
28,05/05/2011,True,10
29,26/11/2010,True,10
