date,Value Volume
05/8/2021,8538461.538461538
05/5/2021,45000000.0
05/2/2021,15384615.384615384
05/11/2020,15384615.384615384
05/8/2020,7692307.692307692
05/5/2020,3600000.0
05/2/2020,3250000.0
05/11/2019,31333333.333333332
05/8/2019,1272727.2727272727
05/5/2019,5142857.142857143
05/2/2019,0.0
05/11/2018,6727272.7272727275
05/8/2018,17181818.181818184
05/5/2018,1875000.0
05/2/2018,26492222.222222224
05/11/2017,16272727.272727273
05/8/2017,9916666.666666666
05/5/2017,39200000.0
05/2/2017,6166666.666666667
05/11/2016,32083333.333333332
05/8/2016,1692307.6923076923
05/5/2016,19700000.0
05/2/2016,3461538.4615384615
05/11/2015,60153846.15384615
05/8/2015,11615384.615384616
05/5/2015,4625000.0
05/2/2015,4013461.5384615385
05/11/2014,124895384.61538461
05/8/2014,18452500.0
05/5/2014,4536125.0
05/2/2014,9229333.333333334
05/11/2013,9820250.0
05/8/2013,6551636.363636363
05/5/2013,2916571.4285714286
05/2/2013,15808833.333333334
05/11/2012,1494545.4545454546
05/8/2012,2638363.6363636362
05/5/2012,13721555.555555556
05/2/2012,7588666.666666667
05/11/2011,35492166.666666664
05/8/2011,78692230.76923077
05/5/2011,12931200.0
05/2/2011,54262428.571428575
05/11/2010,29631000.0
05/8/2010,32551000.0
05/5/2010,252106666.66666666
05/2/2010,858847769.2307693
05/11/2009,4078286000.0
05/8/2009,203886923.07692307
05/5/2009,282146000.0
05/2/2009,79588125.0
05/11/2008,31522923.076923076
05/8/2008,226453416.66666666
05/5/2008,167486125.0
05/2/2008,455400000.0
