date,Value Volume
05/8/2021,33461538.46153846
05/5/2021,34222222.222222224
05/2/2021,34846153.84615385
05/11/2020,74000000.0
05/8/2020,61538461.538461536
05/5/2020,46100000.0
05/2/2020,3500000.0
05/11/2019,13416666.666666666
05/8/2019,58454545.45454545
05/5/2019,37428571.428571425
05/2/2019,500000.0
05/11/2018,10090909.090909092
05/8/2018,13909090.909090908
05/5/2018,1000000.0
05/2/2018,8521111.111111112
05/11/2017,3000000.0
05/8/2017,1833333.3333333333
05/5/2017,17600000.0
05/2/2017,60333333.333333336
05/11/2016,31500000.0
05/8/2016,99153846.15384616
05/5/2016,37200000.0
05/2/2016,5384615.384615385
05/11/2015,30076923.076923076
05/8/2015,1000000.0
05/5/2015,2250000.0
05/2/2015,4682538.461538462
05/11/2014,189432230.76923078
05/8/2014,105873666.66666667
05/5/2014,104990250.0
05/2/2014,311547833.3333333
05/11/2013,120235750.0
05/8/2013,83935636.36363636
05/5/2013,134747857.14285713
05/2/2013,191424833.33333334
05/11/2012,115487363.63636364
05/8/2012,251798545.45454547
05/5/2012,408445333.3333333
05/2/2012,116348500.0
05/11/2011,94267750.0
05/8/2011,70498846.15384616
05/5/2011,46498200.0
05/2/2011,169043428.57142857
05/11/2010,1468545307.6923077
05/8/2010,11279462076.923077
05/5/2010,2840827777.7777777
05/2/2010,676792153.8461539
05/11/2009,3238474769.230769
05/8/2009,1386019461.5384614
05/5/2009,371561700.0
05/2/2009,114396750.0
05/11/2008,362364153.84615386
05/8/2008,258415916.66666666
05/5/2008,81427250.0
05/2/2008,1288600000.0
