,time,tien,tyle
0,17/12/2020,True,25
1,17/12/2019,True,50
2,25/09/2019,True,10
3,21/12/2018,True,40
4,24/10/2018,True,30
5,07/08/2018,True,20
6,29/11/2017,True,10
7,26/09/2017,True,20
8,27/06/2017,True,20
9,22/11/2016,True,10
10,30/08/2016,True,15
11,17/06/2016,True,20
12,18/12/2015,True,15
13,23/03/2015,True,15
14,29/07/2014,True,10
15,21/04/2014,True,15
16,04/12/2013,True,15
17,12/06/2013,True,10
18,22/04/2013,True,15
19,12/11/2012,True,15
20,06/07/2012,True,20
21,17/05/2012,True,15
22,23/09/2011,True,10
23,06/05/2011,True,15
24,07/12/2010,True,15
25,23/06/2010,True,5
26,22/03/2010,True,15
