,time,tien,tyle
0,25/06/2021,True,20
1,11/01/2021,True,25
2,01/10/2020,True,15
3,13/12/2019,True,15
4,07/03/2019,True,15
5,02/10/2018,False,20:3
6,09/01/2018,True,15
7,25/08/2017,True,15
8,05/01/2017,True,15
9,15/07/2016,True,20
10,26/11/2015,True,10
11,10/08/2015,True,15
12,22/12/2014,True,15
13,15/04/2014,True,15
14,01/08/2013,True,30
15,05/12/2012,False,10:2
16,09/11/2012,True,15
17,03/05/2012,True,20
18,09/09/2011,True,20
19,23/02/2011,True,20
20,21/07/2009,False,"4.17                           Thưởng bằng Cổ phiếu, tỷ lệ 4.19"
