,time,tien,tyle
0,11/06/2021,True,20
1,02/12/2020,True,10
2,13/07/2020,True,20
3,22/11/2019,True,10
4,14/06/2019,True,10
5,26/11/2018,True,10
6,18/05/2018,True,10
7,07/11/2017,True,10
8,23/05/2017,True,10
9,30/09/2016,True,10
10,16/02/2016,True,10
11,21/09/2015,True,10
12,21/05/2015,True,10
13,18/12/2014,True,10
14,06/05/2014,True,15
15,13/11/2013,True,10
16,13/05/2013,True,12
17,06/12/2012,True,10
18,06/03/2012,True,10
19,12/08/2011,True,10
20,09/05/2011,True,15
21,25/08/2010,True,10
22,21/04/2010,True,5
23,20/08/2009,True,10
