,time,tien,tyle
0,15/03/2021,True,8
1,08/12/2020,True,6
2,01/04/2020,True,10
3,23/07/2019,True,8
4,21/05/2019,True,2
5,28/12/2018,True,8
6,08/08/2018,True,10
7,14/05/2018,True,2
8,19/12/2017,True,8
9,16/08/2017,True,10
10,17/05/2017,True,8
11,23/11/2016,True,10
12,01/06/2016,True,10
13,31/12/2015,True,5
14,10/06/2015,False,"3%                           Thưởng bằng Cổ phiếu, tỷ lệ 10:2"
15,16/10/2014,True,12
16,22/04/2014,True,10
17,06/01/2014,True,10
18,14/05/2013,True,13
19,22/08/2012,False,"10%                           Thưởng bằng Cổ phiếu, tỷ lệ 5:1"
20,29/05/2012,True,5
21,29/12/2011,True,10
22,14/07/2011,True,10
23,22/04/2010,True,5
24,03/12/2009,True,10
25,12/08/2009,True,15
26,07/04/2009,True,4
