Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume
0,2021/1/0/0,3758239307,357484659070,365007247610,276382824432.0,,435223313603.0,120709223898.0,609062208139.0,98900000000.0,98900000000.0
1,2020/4/0/0,6085355285,356194077105,367202619478,230275419189.0,,409454311983.0,195158067976.0,581042522993.0,,98900000000.0
2,2020/3/0/0,3823139487,248737460429,258012033512,227123452013.0,,381921653830.0,193087778643.0,501569659278.0,98900000000.0,98900000000.0
3,2020/2/0/0,4948127335,316866582962,331160304859,209663636417.0,,454658356089.0,201284483094.0,582277294506.0,98900000000.0,98900000000.0
4,2020/1/0/0,3222345329,234161987264,244428864641,209013162338.0,,412225522747.0,234437944172.0,563674128941.0,98900000000.0,98900000000.0
5,2019/4/0/0,5490628479,257868092706,270976801892,,,,,,,
6,2019/3/0/0,3143708784,375419780478,387826883515,177101440748.0,2000000000.0,454925220583.0,300111848126.0,752829934676.0,98900000000.0,98900000000.0
7,2019/2/0/0,4279332022,309402707282,328805895280,205074722787.0,,395253379957.0,420519658272.0,870951712715.0,98900000000.0,98900000000.0
8,2019/1/0/0,4396433993,331434254607,345883833183,94626132716.0,,347301978792.0,442187299594.0,710346232536.0,98900000000.0,98900000000.0
9,2018/4/0/0,3945340473,271895284792,286585267138,99226646670.0,,339841975466.0,520125950748.0,781669319017.0,98900000000.0,98900000000.0
10,2018/3/0/0,4150493628,261460868084,276005454903,107099255725.0,,373572764276.0,353688901062.0,652515851744.0,98900000000.0,98900000000.0
11,2018/2/0/0,5862762933,302737889620,319910478022,97361557641.0,,405452032672.0,278797086386.0,575645302177.0,98900000000.0,98900000000.0
12,2018/1/0/0,2227338299,176581468943,187821544286,97562326394.0,,340247096465.0,373382542924.0,580922093964.0,98900000000.0,98900000000.0
13,2017/4/0/0,7108372579,253583047449,284910664878,74992821022.0,,383795894363.0,381995537149.0,628082249377.0,98900000000.0,98900000000.0
14,2017/3/0/0,6850667509,314016915369,333311202384,87374477019.0,,463352763655.0,291689696330.0,551117313455.0,98900000000.0,98900000000.0
15,2017/2/0/0,7260688659,268684307957,297900467794,86057432646.0,,443803003874.0,369210170310.0,607474923071.0,98900000000.0,98900000000.0
16,2017/1/0/0,7412834112,406649828734,439994155556,86469768450.0,,411233360338.0,327023052450.0,482749717665.0,98900000000.0,98900000000.0
17,2016/4/0/0,4749957041,113104571867,142018038930,69121851937.0,,370717027586.0,515645014848.0,612925096715.0,98900000000.0,98900000000.0
18,2016/3/0/0,9082642135,378056457601,396575081156,94473392868.0,,493087167476.0,247889841578.0,463918093091.0,98900000000.0,98900000000.0
19,2016/2/0/0,10138413050,391959618203,415966752707,119719387339.0,,393244797964.0,265924802408.0,453560197572.0,90000000000.0,90000000000.0
20,2016/1/0/0,8882843600,273245447586,292451227792,85528479355.0,,371028489233.0,334299845543.0,476215653072.0,90000000000.0,90000000000.0
21,2015/4/0/0,4611453678,272560769687,287710933446,91638123641.0,,317956565721.0,298169710022.0,361519568690.0,90000000000.0,90000000000.0
22,2015/3/0/0,8874880985,257140626396,276339588766,67632700236.0,,314649631758.0,210020558957.0,343621131124.0,90000000000.0,90000000000.0
23,2015/2/0/0,8344168084,297509141251,316050185667,82527605605.0,,302859529066.0,174469949351.0,324646049290.0,90000000000.0,90000000000.0
24,2015/1/0/0,8574736446,311036760708,330206656908,85620693184.0,,254643437796.0,215286028394.0,287620092482.0,,
25,2014/4/0/0,4389097123,167117807814,184331990491,71633257499.0,,240688191925.0,348920572675.0,381096629766.0,0.0,90000000000.0
26,2014/3/0/0,6027933256,254968282391,272910296360,78150389416.0,,247975826812.0,272810246320.0,382124806247.0,0.0,90000000000.0
27,2014/2/0/0,8010992251,198081237615,215409296415,74331087065.0,,254308022031.0,253030323486.0,333317633001.0,0.0,90000000000.0
28,2014/1/0/0,8295123031,243030202763,260093135979,104773198560.0,,260884877967.0,235509813540.0,339160992348.0,0.0,90000000000.0
29,2013/4/0/0,5871237379,207147541947,225031176522,69119866139.0,,201852217773.0,254087520833.0,363329066059.0,0.0,90000000000.0
30,2013/3/0/0,5041389496,152377559024,170706600017,64570145278.0,,222226647446.0,219853863715.0,422165434448.0,0.0,90000000000.0
31,2013/2/0/0,7497046577,203235232066,229235526939,57488866794.0,,262702551830.0,146421755382.0,381193647560.0,0.0,90000000000.0
32,2013/1/0/0,7170198923,208865678647,232656610657,64952021491.0,,223346580817.0,147445286025.0,397398459537.0,0.0,90000000000.0
33,2012/4/0/0,6486918810,190283258090,216731134550,33197199113.0,,158343923720.0,206811305294.0,365698493203.0,0.0,90000000000.0
34,2012/3/0/0,7420174331,208526949978,224987665849,29010438861.0,,179807582137.0,136039580732.0,369766210181.0,0.0,90000000000.0
35,2012/2/0/0,7505803503,181182701626,206590035835,17677960228.0,,88966662759.0,118949075119.0,237265213267.0,0.0,90000000000.0
36,2012/1/0/0,4547352631,114665447175,137518807885,51305746608.0,,107077997029.0,151855822292.0,288927176027.0,0.0,90000000000.0
