date,Value Volume,Symbol
05/8/2021,612800.0,TCO
05/5/2021,3544.4444444444443,TCO
05/2/2021,207.69230769230768,TCO
05/11/2020,1347.6923076923076,TCO
05/8/2020,17.692307692307693,TCO
05/5/2020,87.0,TCO
05/2/2020,38.75,TCO
05/11/2019,127.5,TCO
05/8/2019,12.727272727272727,TCO
05/5/2019,77.14285714285714,TCO
05/2/2019,28069.0,TCO
05/11/2018,0.9090909090909091,TCO
05/8/2018,50.90909090909091,TCO
05/5/2018,368.75,TCO
05/2/2018,497.77777777777777,TCO
05/11/2017,772.7272727272727,TCO
05/8/2017,726.6666666666666,TCO
05/5/2017,25.0,TCO
05/2/2017,1620.0,TCO
05/11/2016,26552.5,TCO
05/8/2016,3083.076923076923,TCO
05/5/2016,3822.0,TCO
05/2/2016,1626.923076923077,TCO
05/11/2015,5683.846153846154,TCO
05/8/2015,4326.153846153846,TCO
05/5/2015,37278.75,TCO
05/2/2015,13146.923076923076,TCO
05/11/2014,15493.076923076924,TCO
05/8/2014,12183.333333333334,TCO
05/5/2014,96190.0,TCO
05/2/2014,5078.333333333333,TCO
05/11/2013,256.6666666666667,TCO
05/8/2013,10.0,TCO
05/5/2013,300.0,TCO
05/2/2013,8.333333333333334,TCO
05/11/2012,3.6363636363636362,TCO
05/8/2012,2694.5454545454545,TCO
05/5/2012,4204.444444444444,TCO
05/2/2012,,TCO
05/11/2011,691.6666666666666,TCO
05/8/2011,684.6153846153846,TCO
05/5/2011,1320.0,TCO
05/2/2011,3583.3333333333335,TCO
05/11/2010,230.76923076923077,TCO
05/8/2010,76.92307692307692,TCO
05/5/2010,0.0,TCO
05/2/2010,0.0,TCO
05/11/2009,233.84615384615384,TCO
05/8/2009,,TCO
05/5/2009,,TCO
05/2/2009,,TCO
05/11/2008,,TCO
05/8/2008,,TCO
05/5/2008,,TCO
05/2/2008,,TCO
